A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	class
1	36.08	2.54	2	1	1	0.0	0	0	0.0	0	2	0.0	1001.0	0
1	32.33	7.5	2	10	5	1.585	1	0	0.0	1	1	420.0	1.0	0
1	51.42	0.04	2	14	8	0.04	1	0	0.0	0	2	0.0	3001.0	1
1	31.57	0.625	2	4	4	0.25	0	0	0.0	0	2	380.0	2011.0	0
1	30.17	0.5	2	8	4	1.75	1	1	11.0	0	2	32.0	541.0	1
0	24.92	1.25	2	1	1	0.0	1	0	0.0	0	2	80.0	1.0	0
0	29.75	0.665	2	9	4	0.25	0	0	0.0	1	2	300.0	1.0	0
1	32.42	2.165	1	4	1	0.0	0	0	0.0	0	2	120.0	1.0	0
1	27.83	1.5	2	9	4	2.0	1	1	11.0	1	2	434.0	36.0	1
1	59.67	1.54	2	11	4	0.125	1	0	0.0	1	2	260.0	1.0	1
1	32.42	3.0	2	2	4	0.165	0	0	0.0	1	2	120.0	1.0	0
1	76.75	22.29	2	10	9	12.75	1	1	1.0	1	2	0.0	110.0	1
1	13.75	4.0	1	9	4	1.75	1	1	2.0	1	2	120.0	1001.0	1
1	30.08	1.04	1	3	5	0.5	1	1	10.0	1	2	132.0	29.0	0
1	21.17	0.875	1	8	8	0.25	0	0	0.0	0	2	280.0	205.0	0
1	36.33	2.125	1	9	4	0.085	1	1	1.0	0	2	50.0	1188.0	1
1	54.58	9.415	2	1	1	14.415	1	1	11.0	1	2	30.0	301.0	1
0	38.92	1.665	2	6	4	0.25	0	0	0.0	0	2	0.0	391.0	0
1	41.17	1.335	2	2	4	0.165	0	0	0.0	0	2	168.0	1.0	0
0	22.83	2.29	2	11	8	2.29	1	1	7.0	1	2	140.0	2385.0	1
1	26.67	2.71	1	13	4	5.25	1	1	1.0	0	2	211.0	1.0	1
0	17.92	0.54	2	8	4	1.75	0	1	1.0	1	2	80.0	6.0	0
0	30.58	10.665	2	11	8	0.085	0	1	12.0	1	2	129.0	4.0	0
1	23.5	3.165	1	4	4	0.415	0	1	1.0	1	2	280.0	81.0	0
0	20.08	1.25	2	8	4	0.0	0	0	0.0	0	2	0.0	1.0	0
1	29.83	2.04	1	14	8	0.04	0	0	0.0	0	2	128.0	2.0	0
1	45.17	1.5	2	8	4	2.5	1	0	0.0	1	2	140.0	1.0	0
1	25.08	1.71	2	14	4	1.665	1	1	1.0	1	2	395.0	21.0	1
1	34.17	5.25	2	9	4	0.085	0	0	0.0	1	2	290.0	7.0	1
1	38.58	3.335	2	9	4	4.0	1	1	14.0	0	2	383.0	1345.0	1
1	34.75	15.0	2	12	7	5.375	1	1	9.0	1	2	0.0	135.0	1
0	22.67	0.79	2	3	4	0.085	0	0	0.0	0	2	144.0	1.0	0
0	17.33	9.5	2	6	4	1.75	0	1	10.0	1	2	0.0	11.0	0
1	31.57	10.5	2	14	4	6.5	1	0	0.0	0	2	0.0	1.0	1
1	36.17	0.42	1	9	4	0.29	0	0	0.0	1	2	309.0	3.0	0
1	21.5	9.75	2	8	4	0.25	1	0	0.0	0	2	140.0	1.0	0
0	25.25	13.5	1	1	1	2.0	0	1	1.0	1	2	200.0	2.0	0
0	58.67	4.46	2	11	8	3.04	1	1	6.0	0	2	43.0	561.0	1
1	49.5	7.585	2	3	5	7.585	1	1	15.0	1	2	0.0	5001.0	1
0	23.25	5.875	2	11	4	3.17	1	1	10.0	0	2	120.0	246.0	1
0	24.5	1.04	1	1	1	0.5	1	1	3.0	0	2	180.0	148.0	0
0	28.67	1.04	2	8	4	2.5	1	1	5.0	1	2	300.0	1431.0	1
1	25.0	12.0	2	4	4	2.25	1	1	2.0	1	2	120.0	6.0	0
1	34.67	1.08	2	7	4	1.165	0	0	0.0	0	1	28.0	1.0	0
1	41.5	1.54	2	3	5	3.5	0	0	0.0	0	2	216.0	1.0	1
1	24.08	0.875	2	7	4	0.085	0	1	4.0	0	2	254.0	1951.0	0
1	22.67	1.585	1	9	4	3.085	1	1	6.0	0	2	80.0	1.0	1
1	25.67	3.25	2	8	8	2.29	0	1	1.0	1	2	416.0	22.0	0
0	27.25	0.29	2	7	8	0.125	0	1	1.0	1	2	272.0	109.0	0
0	71.58	0.0	2	8	4	0.0	0	0	0.0	0	3	184.0	1.0	1
1	25.75	0.5	2	8	4	1.46	1	1	5.0	1	2	312.0	1.0	1
1	34.17	9.17	2	8	4	4.5	1	1	12.0	1	2	0.0	222.0	1
0	45.33	1.0	2	11	4	0.125	0	0	0.0	1	2	263.0	1.0	0
0	32.17	1.46	2	9	4	1.085	1	1	16.0	0	2	120.0	2080.0	1
0	52.17	0.0	1	1	1	0.0	0	0	0.0	0	2	0.0	1.0	0
0	36.75	5.125	2	10	4	5.0	1	0	0.0	1	2	0.0	4001.0	1
1	23.25	12.625	2	8	4	0.125	0	1	2.0	0	2	0.0	5553.0	0
1	28.17	0.125	1	4	4	0.085	0	0	0.0	0	2	216.0	2101.0	0
1	55.92	11.5	2	1	1	5.0	1	1	5.0	0	2	0.0	8852.0	1
1	20.75	5.085	1	5	4	0.29	0	0	0.0	0	2	140.0	185.0	0
1	42.83	4.625	2	11	4	4.58	1	0	0.0	0	1	0.0	1.0	1
1	40.92	0.835	2	1	1	0.0	1	0	0.0	0	2	130.0	2.0	0
1	21.83	11.0	2	14	4	0.29	1	1	6.0	0	2	121.0	1.0	1
1	19.33	10.915	2	8	5	0.585	0	1	2.0	1	2	200.0	8.0	0
1	35.17	2.5	2	4	4	4.5	1	1	7.0	0	2	150.0	1271.0	1
1	24.17	0.875	2	11	4	4.625	1	1	2.0	1	2	520.0	2001.0	1
1	33.17	3.04	1	8	8	2.04	1	1	1.0	1	2	180.0	18028.0	1
1	21.42	0.75	1	12	7	0.75	0	0	0.0	1	2	132.0	3.0	0
1	16.17	0.04	2	8	4	0.04	0	0	0.0	0	2	0.0	1.0	1
1	48.75	8.5	2	8	8	12.5	1	1	9.0	0	2	181.0	1656.0	1
0	22.92	11.585	2	13	4	0.04	1	0	0.0	0	2	80.0	1350.0	1
0	18.17	10.0	1	11	8	0.165	0	0	0.0	0	2	340.0	1.0	0
0	20.75	10.335	2	13	8	0.335	1	1	1.0	1	2	80.0	51.0	1
0	19.75	0.75	2	8	4	0.795	1	1	5.0	1	2	140.0	6.0	0
1	22.08	0.83	2	8	8	2.165	0	0	0.0	1	2	128.0	1.0	1
0	39.08	4.0	2	8	4	3.0	0	0	0.0	0	2	480.0	1.0	0
0	29.5	2.0	1	10	8	2.0	0	0	0.0	0	2	256.0	18.0	0
1	29.25	14.79	2	6	4	5.04	1	1	5.0	1	2	168.0	1.0	1
0	31.57	3.5	2	2	4	3.0	1	0	0.0	1	2	300.0	1.0	0
1	21.33	7.5	2	6	4	1.415	1	1	1.0	0	2	80.0	9801.0	1
1	25.0	11.25	2	8	4	2.5	1	1	17.0	0	2	200.0	1209.0	1
0	18.08	0.375	3	13	1	10.0	0	0	0.0	1	1	300.0	1.0	1
1	26.67	14.585	2	3	5	0.0	0	0	0.0	1	2	178.0	1.0	0
0	21.92	11.665	2	4	8	0.085	0	0	0.0	0	2	320.0	6.0	0
0	25.42	1.125	2	11	4	1.29	1	1	2.0	0	2	200.0	1.0	0
1	41.92	0.42	2	8	8	0.21	1	1	6.0	0	2	220.0	949.0	1
1	19.17	4.0	1	3	4	1.0	0	0	0.0	1	2	360.0	1001.0	0
1	24.42	12.335	2	11	8	1.585	1	0	0.0	1	2	120.0	1.0	1
0	29.5	1.085	1	14	4	1.0	0	0	0.0	0	2	280.0	14.0	0
1	24.58	12.5	2	9	4	0.875	1	0	0.0	1	2	260.0	1.0	0
0	21.08	5.0	1	1	1	0.0	0	0	0.0	0	2	0.0	1.0	0
1	24.5	13.335	1	6	4	0.04	0	0	0.0	1	2	120.0	476.0	0
1	34.25	1.75	2	9	5	0.25	1	0	0.0	1	2	163.0	1.0	0
1	22.92	0.17	2	7	4	0.085	0	0	0.0	0	1	0.0	1.0	0
1	56.42	28.0	1	8	4	28.5	1	1	40.0	0	2	0.0	16.0	1
1	26.17	0.835	2	13	4	1.165	0	0	0.0	0	2	100.0	1.0	0
0	27.42	14.5	2	14	8	3.085	1	1	1.0	0	2	120.0	12.0	1
1	23.25	1.0	2	8	4	0.835	1	0	0.0	0	1	300.0	1.0	1
1	18.08	5.5	2	4	4	0.5	1	0	0.0	0	2	80.0	1.0	1
1	41.75	0.96	2	14	4	2.5	1	0	0.0	0	2	510.0	601.0	1
0	24.75	13.665	2	11	8	1.5	0	0	0.0	0	2	280.0	2.0	0
1	18.67	5.0	2	11	4	0.375	1	1	2.0	0	2	0.0	39.0	0
0	15.83	0.585	2	8	8	1.5	1	1	2.0	0	2	100.0	1.0	1
1	29.83	3.5	2	8	4	0.165	0	0	0.0	0	2	216.0	1.0	0
1	48.25	25.085	2	9	4	1.75	1	1	3.0	0	2	120.0	15.0	1
1	39.42	1.71	1	7	4	0.165	0	0	0.0	0	1	400.0	1.0	0
0	33.08	1.625	2	2	4	0.54	0	0	0.0	1	2	0.0	1.0	0
1	22.17	0.585	1	1	1	0.0	0	0	0.0	0	2	100.0	1.0	0
1	18.58	10.29	2	1	1	0.415	0	0	0.0	0	2	80.0	1.0	0
1	49.58	19.0	2	1	1	0.0	1	1	1.0	0	2	94.0	1.0	0
0	60.58	16.5	2	11	4	11.0	1	0	0.0	1	2	21.0	10562.0	1
1	18.0	0.165	2	11	7	0.21	0	0	0.0	0	2	200.0	41.0	1
1	23.33	1.5	2	8	8	1.415	1	0	0.0	0	2	422.0	201.0	1
1	18.17	2.46	2	8	7	0.96	0	1	2.0	1	2	160.0	588.0	0
1	37.58	0.0	2	8	4	0.0	0	0	0.0	0	3	184.0	1.0	1
1	73.42	17.75	2	1	1	0.0	1	0	0.0	1	2	0.0	1.0	1
0	25.17	2.875	2	14	8	0.875	1	0	0.0	0	2	360.0	1.0	1
0	26.92	13.5	2	11	8	5.0	1	1	2.0	0	2	0.0	5001.0	1
0	22.5	11.0	1	11	4	3.0	1	0	0.0	1	2	268.0	1.0	0
1	56.58	18.5	2	2	5	15.0	1	1	17.0	1	2	0.0	1.0	1
1	19.5	9.585	2	6	4	0.79	0	0	0.0	0	2	80.0	351.0	0
1	39.08	6.0	2	7	4	1.29	1	1	5.0	1	2	108.0	1098.0	1
0	47.0	13.0	2	3	5	5.165	1	1	9.0	1	2	0.0	1.0	1
1	22.5	11.5	1	7	4	1.5	0	0	0.0	1	2	0.0	4001.0	0
1	25.17	6.0	2	8	4	1.0	1	1	3.0	0	2	0.0	1.0	1
1	19.58	0.585	2	1	1	0.0	0	1	3.0	0	2	350.0	770.0	0
1	40.58	1.5	2	3	5	0.0	0	0	0.0	0	1	300.0	1.0	0
1	15.17	7.0	2	10	4	1.0	0	0	0.0	0	2	600.0	1.0	0
1	33.0	2.5	1	9	4	7.0	0	0	0.0	1	2	280.0	1.0	0
1	25.75	0.75	2	8	5	0.25	1	0	0.0	0	2	349.0	24.0	1
1	23.08	0.0	2	4	4	1.0	0	1	11.0	0	1	0.0	1.0	0
1	58.58	2.71	2	8	4	2.415	0	0	0.0	1	2	320.0	1.0	0
1	33.75	2.75	2	3	5	0.0	0	0	0.0	0	2	180.0	1.0	0
1	28.25	5.04	1	8	5	1.5	1	1	8.0	1	2	144.0	8.0	1
0	30.25	5.5	2	4	4	5.5	0	0	0.0	1	1	100.0	1.0	0
1	48.5	4.25	2	7	4	0.125	1	0	0.0	1	2	225.0	1.0	1
0	22.42	5.665	2	11	4	2.585	1	1	7.0	0	2	129.0	3258.0	1
0	21.25	2.335	2	3	5	0.5	1	1	4.0	0	1	80.0	1.0	1
1	37.17	4.0	2	8	5	5.0	1	0	0.0	1	1	280.0	1.0	0
1	33.67	2.165	2	8	4	1.5	0	0	0.0	0	3	120.0	1.0	0
0	20.83	8.5	2	8	4	0.165	0	0	0.0	0	2	0.0	352.0	0
1	32.83	2.5	2	13	8	2.75	1	1	6.0	0	2	160.0	2073.0	1
1	43.0	0.29	1	13	8	1.75	1	1	8.0	0	2	100.0	376.0	1
1	67.75	5.5	2	10	9	13.0	1	1	1.0	1	2	0.0	1.0	1
1	21.0	4.79	1	9	4	2.25	1	1	1.0	1	2	80.0	301.0	1
1	32.08	4.0	2	7	4	2.5	1	0	0.0	1	2	360.0	1.0	1
1	52.33	1.375	1	8	8	9.46	1	0	0.0	1	2	200.0	101.0	0
1	17.42	6.5	2	3	4	0.125	0	0	0.0	0	2	60.0	101.0	0
0	25.0	12.33	2	13	8	3.5	1	1	6.0	0	2	400.0	459.0	1
1	22.58	10.04	2	14	4	0.04	1	1	9.0	0	2	60.0	397.0	1
1	22.5	0.125	1	4	4	0.125	0	0	0.0	0	2	200.0	71.0	0
1	41.17	1.25	1	9	4	0.25	0	0	0.0	0	2	0.0	196.0	0
1	20.67	0.415	2	8	4	0.125	0	0	0.0	0	2	0.0	45.0	0
1	28.92	0.375	2	8	4	0.29	0	0	0.0	0	2	220.0	141.0	0
1	29.17	3.5	2	9	4	3.5	1	1	3.0	1	2	329.0	1.0	0
1	40.25	21.5	2	10	9	20.0	1	1	11.0	0	2	0.0	1201.0	1
1	39.17	1.625	2	8	4	1.5	1	1	10.0	0	2	186.0	4701.0	1
1	27.0	0.75	2	8	8	4.25	1	1	3.0	1	2	312.0	151.0	1
1	54.33	6.75	2	8	8	2.625	1	1	11.0	1	2	0.0	285.0	1
1	34.83	2.5	1	9	4	3.0	0	0	0.0	0	1	200.0	1.0	0
1	23.0	0.625	1	6	4	0.125	1	0	0.0	0	2	180.0	2.0	0
0	22.5	0.415	2	3	4	0.335	0	0	0.0	1	1	144.0	1.0	0
1	31.0	2.085	2	8	4	0.085	0	0	0.0	0	2	300.0	1.0	0
1	22.17	12.125	2	8	4	3.335	0	1	2.0	1	2	180.0	174.0	0
1	17.08	0.085	1	8	4	0.04	0	0	0.0	0	2	140.0	723.0	0
1	25.17	3.0	2	8	4	1.25	0	1	1.0	0	2	0.0	23.0	0
1	31.57	4.0	2	14	4	5.0	1	1	3.0	1	2	290.0	2280.0	1
1	37.42	2.04	2	9	4	0.04	1	0	0.0	1	2	400.0	5801.0	1
1	28.25	5.125	2	14	4	4.75	1	1	2.0	0	2	420.0	8.0	1
0	57.58	2.0	2	1	1	6.5	0	1	1.0	0	2	0.0	11.0	0
1	23.42	0.585	2	8	8	0.085	1	0	0.0	0	2	180.0	1.0	0
1	22.25	9.0	2	6	4	0.085	0	0	0.0	0	2	0.0	1.0	0
1	32.92	2.5	2	6	4	1.75	0	1	2.0	1	2	720.0	1.0	0
1	26.75	2.0	2	2	4	0.75	0	0	0.0	1	2	80.0	1.0	0
1	43.17	2.25	2	3	5	0.75	1	0	0.0	0	2	560.0	1.0	0
1	41.42	5.0	2	11	8	5.0	1	1	6.0	1	2	470.0	1.0	1
1	56.0	12.5	2	4	8	8.0	1	0	0.0	1	2	24.0	2029.0	1
1	18.5	2.0	2	3	4	1.5	1	1	2.0	0	2	120.0	301.0	1
1	22.75	11.5	2	3	4	0.415	0	0	0.0	0	2	0.0	1.0	0
1	34.92	5.0	2	14	8	7.5	1	1	6.0	1	2	0.0	1001.0	1
1	28.67	9.335	2	11	8	5.665	1	1	6.0	0	2	381.0	169.0	1
1	63.33	0.54	2	8	4	0.585	1	1	3.0	1	2	180.0	1.0	0
1	20.0	11.045	2	8	4	2.0	0	0	0.0	1	2	136.0	1.0	0
1	59.5	2.75	2	9	4	1.75	1	1	5.0	1	2	60.0	59.0	1
0	44.33	0.0	2	8	4	2.5	1	0	0.0	0	2	0.0	1.0	1
1	20.67	5.29	2	11	4	0.375	1	1	1.0	0	2	160.0	1.0	0
1	26.75	1.125	2	14	8	1.25	1	0	0.0	0	2	0.0	5299.0	1
1	37.5	1.125	1	2	4	1.5	0	0	0.0	1	2	431.0	1.0	1
0	33.67	0.375	2	13	4	0.375	0	0	0.0	0	2	300.0	45.0	1
1	36.67	2.0	2	3	4	0.25	0	0	0.0	1	2	221.0	1.0	0
1	20.42	1.835	2	8	4	2.25	1	1	1.0	0	2	100.0	151.0	1
1	27.58	3.25	1	11	8	5.085	0	1	2.0	1	2	369.0	2.0	0
1	20.17	5.625	2	9	4	1.71	1	0	0.0	0	1	120.0	1.0	1
1	32.75	2.335	2	2	8	5.75	0	0	0.0	1	2	292.0	1.0	0
1	30.58	2.71	1	7	4	0.125	0	0	0.0	1	1	80.0	1.0	0
0	35.42	12.0	2	11	8	14.0	1	1	8.0	0	2	0.0	6591.0	1
0	16.5	1.25	2	11	4	0.25	0	1	1.0	0	2	108.0	99.0	0
1	20.42	1.085	2	11	4	1.5	0	0	0.0	0	2	108.0	8.0	0
1	49.17	2.29	2	1	1	0.29	0	0	0.0	0	2	200.0	4.0	0
0	52.83	15.0	2	8	4	5.5	1	1	14.0	0	2	0.0	2201.0	1
0	29.5	0.46	2	4	4	0.54	1	1	4.0	0	2	380.0	501.0	1
1	21.25	1.5	2	9	4	1.5	0	0	0.0	0	2	150.0	9.0	1
0	56.5	16.0	2	5	1	0.0	1	1	15.0	0	2	0.0	248.0	1
0	27.17	1.25	2	1	1	0.0	0	1	1.0	0	2	92.0	301.0	0
0	34.83	1.25	1	3	8	0.5	0	0	0.0	1	2	160.0	1.0	0
1	20.5	10.0	1	8	4	2.5	1	0	0.0	0	1	40.0	1.0	1
1	19.67	10.0	1	4	8	0.835	1	0	0.0	1	2	140.0	1.0	0
0	28.58	3.75	2	8	4	0.25	0	1	1.0	1	2	40.0	155.0	0
0	22.58	10.75	2	11	4	0.415	1	1	5.0	1	2	0.0	561.0	1
0	25.0	11.0	1	6	4	4.5	1	0	0.0	0	2	120.0	1.0	0
1	18.83	0.0	2	11	4	0.665	0	0	0.0	0	2	160.0	2.0	0
0	22.67	0.75	2	8	4	2.0	0	1	2.0	1	2	200.0	395.0	0
1	35.0	2.5	2	3	4	1.0	0	0	0.0	1	2	210.0	1.0	0
1	24.83	2.75	2	8	4	2.25	1	1	6.0	0	2	184.0	601.0	1
0	27.67	1.5	2	7	4	2.0	1	0	0.0	0	1	368.0	1.0	0
1	31.67	0.83	2	14	4	1.335	1	1	8.0	1	2	303.0	3291.0	1
1	32.67	5.5	2	11	8	5.5	1	1	12.0	1	2	408.0	1001.0	1
1	23.58	0.835	2	3	8	0.085	0	0	0.0	1	2	220.0	6.0	0
1	24.75	0.54	2	7	4	1.0	0	0	0.0	1	2	120.0	2.0	0
0	19.58	0.665	2	9	4	1.665	0	0	0.0	0	2	220.0	6.0	0
1	21.33	10.5	2	8	4	3.0	1	0	0.0	1	2	0.0	1.0	1
1	34.58	0.0	2	8	4	0.0	0	0	0.0	0	3	184.0	1.0	0
0	24.08	0.5	2	11	8	1.25	1	1	1.0	0	2	0.0	679.0	1
0	28.58	3.54	2	3	5	0.5	1	0	0.0	1	2	171.0	1.0	0
1	27.42	12.5	2	6	5	0.25	0	0	0.0	1	2	720.0	1.0	0
1	19.67	0.375	2	11	4	2.0	1	1	2.0	1	2	80.0	1.0	1
1	42.5	4.915	1	9	4	3.165	1	0	0.0	1	2	52.0	1443.0	1
1	27.83	1.54	2	9	4	3.75	1	1	5.0	1	2	100.0	4.0	1
0	28.08	15.0	1	10	9	0.0	1	0	0.0	0	2	0.0	13213.0	1
1	23.92	1.5	2	2	8	1.875	1	1	6.0	0	2	200.0	328.0	1
1	32.75	1.5	2	13	8	5.5	1	1	3.0	1	2	0.0	1.0	1
1	30.67	2.5	2	13	8	2.25	0	0	0.0	1	1	340.0	1.0	0
1	18.33	1.21	1	10	2	0.0	0	0	0.0	0	2	100.0	1.0	0
0	25.0	0.875	2	14	8	1.04	1	0	0.0	1	2	160.0	5861.0	1
1	20.17	8.17	2	6	4	1.96	1	1	14.0	0	2	60.0	159.0	1
0	44.17	6.665	2	11	4	7.375	1	1	3.0	1	2	0.0	1.0	1
1	35.25	16.5	1	8	4	4.0	1	0	0.0	0	2	80.0	1.0	0
1	31.57	0.375	2	2	4	0.875	1	0	0.0	1	1	928.0	1.0	0
1	47.17	5.835	2	9	4	5.5	0	0	0.0	0	2	465.0	151.0	0
1	22.75	11.0	2	11	4	2.5	1	1	7.0	1	2	100.0	810.0	1
1	43.25	3.0	2	11	8	6.0	1	1	11.0	0	2	80.0	1.0	1
1	26.33	13.0	2	10	2	0.0	0	0	0.0	1	2	140.0	1111.0	0
0	36.58	0.29	2	1	1	0.0	0	1	10.0	0	2	200.0	19.0	0
1	34.75	2.5	2	13	5	0.5	0	0	0.0	0	2	348.0	1.0	0
0	52.5	7.0	2	6	8	3.0	0	0	0.0	0	2	0.0	1.0	0
0	20.67	1.835	2	11	4	2.085	1	1	5.0	0	2	220.0	2504.0	1
1	42.0	0.205	2	3	8	5.125	1	0	0.0	0	2	400.0	1.0	1
1	18.83	3.54	1	1	1	0.0	0	0	0.0	1	2	180.0	2.0	0
1	18.25	0.165	2	2	4	0.25	0	0	0.0	1	1	280.0	1.0	0
1	31.08	1.5	1	9	4	0.04	0	0	0.0	0	1	160.0	1.0	0
0	19.17	5.415	2	3	8	0.29	0	0	0.0	0	2	80.0	485.0	0
0	49.83	13.585	2	4	8	8.5	1	0	0.0	1	2	0.0	1.0	1
1	35.17	25.125	2	14	8	1.625	1	1	1.0	1	2	515.0	501.0	1
1	48.58	6.5	2	11	8	6.0	1	0	0.0	1	2	350.0	1.0	1
0	18.25	10.0	2	9	4	1.0	0	1	1.0	0	2	120.0	2.0	0
1	37.33	6.5	2	7	8	4.25	1	1	12.0	1	2	93.0	1.0	1
0	32.25	1.5	2	8	4	0.25	0	0	0.0	1	2	372.0	123.0	0
0	28.42	3.5	2	9	4	0.835	1	0	0.0	0	1	280.0	1.0	1
0	31.57	1.5	2	1	1	0.0	0	1	2.0	1	2	200.0	106.0	0
0	25.75	0.5	2	8	8	0.875	1	0	0.0	1	2	491.0	1.0	1
1	33.17	1.0	2	14	4	0.75	1	1	7.0	1	2	340.0	4072.0	1
0	50.08	12.54	2	6	4	2.29	1	1	3.0	1	2	156.0	1.0	1
0	24.58	0.67	2	6	8	1.75	1	0	0.0	0	2	400.0	1.0	0
