x-box	y-box	width	high	onpix	x-bar	y-bar	x2bar	y2bar	xybar	x2ybr	xy2br	x-ege	xegvy	y-ege	yegvx	class
5.0	9.0	5.0	7.0	2.0	3.0	12.0	4.0	4.0	10.0	12.0	7.0	3.0	10.0	1.0	8.0	22
6.0	9.0	8.0	6.0	9.0	7.0	8.0	6.0	5.0	7.0	5.0	8.0	8.0	9.0	8.0	6.0	13
9.0	13.0	10.0	8.0	6.0	11.0	11.0	7.0	3.0	4.0	7.0	9.0	9.0	13.0	3.0	6.0	13
4.0	8.0	4.0	6.0	4.0	7.0	7.0	7.0	4.0	10.0	6.0	8.0	3.0	8.0	3.0	6.0	15
1.0	3.0	3.0	1.0	1.0	8.0	8.0	2.0	5.0	14.0	5.0	8.0	1.0	7.0	0.0	8.0	10
3.0	8.0	4.0	6.0	2.0	3.0	6.0	6.0	11.0	7.0	7.0	14.0	0.0	8.0	7.0	7.0	5
6.0	9.0	8.0	5.0	4.0	9.0	3.0	3.0	2.0	9.0	3.0	9.0	8.0	2.0	1.0	9.0	13
9.0	13.0	10.0	7.0	6.0	4.0	9.0	4.0	6.0	10.0	10.0	11.0	5.0	8.0	4.0	6.0	11
5.0	9.0	7.0	6.0	6.0	5.0	10.0	5.0	5.0	10.0	8.0	3.0	1.0	10.0	3.0	7.0	16
5.0	10.0	7.0	8.0	4.0	10.0	3.0	2.0	3.0	8.0	1.0	7.0	2.0	7.0	3.0	8.0	1
2.0	5.0	3.0	3.0	2.0	6.0	7.0	5.0	5.0	9.0	7.0	10.0	2.0	9.0	4.0	9.0	7
5.0	9.0	5.0	4.0	3.0	10.0	7.0	4.0	5.0	7.0	9.0	5.0	4.0	11.0	2.0	7.0	22
2.0	2.0	3.0	3.0	2.0	8.0	7.0	3.0	8.0	6.0	6.0	7.0	2.0	8.0	5.0	7.0	24
1.0	1.0	2.0	1.0	0.0	7.0	4.0	2.0	0.0	7.0	2.0	8.0	2.0	7.0	1.0	8.0	1
6.0	10.0	8.0	8.0	5.0	8.0	6.0	3.0	9.0	12.0	4.0	9.0	3.0	6.0	8.0	9.0	26
4.0	9.0	5.0	6.0	5.0	7.0	6.0	7.0	6.0	6.0	8.0	10.0	2.0	11.0	9.0	7.0	19
8.0	9.0	11.0	7.0	8.0	10.0	6.0	2.0	5.0	9.0	3.0	6.0	10.0	8.0	3.0	9.0	13
4.0	10.0	4.0	8.0	4.0	7.0	8.0	3.0	12.0	9.0	6.0	8.0	0.0	8.0	7.0	7.0	26
4.0	8.0	5.0	6.0	3.0	7.0	7.0	12.0	1.0	7.0	9.0	8.0	8.0	6.0	0.0	8.0	13
12.0	13.0	11.0	7.0	5.0	8.0	11.0	3.0	3.0	5.0	10.0	7.0	8.0	12.0	1.0	6.0	23
7.0	11.0	7.0	8.0	5.0	5.0	10.0	0.0	8.0	11.0	9.0	6.0	1.0	9.0	3.0	4.0	20
2.0	7.0	3.0	5.0	2.0	3.0	7.0	6.0	10.0	7.0	6.0	14.0	0.0	8.0	7.0	8.0	5
1.0	3.0	0.0	4.0	0.0	7.0	7.0	4.0	4.0	7.0	6.0	8.0	0.0	8.0	0.0	8.0	9
5.0	9.0	5.0	4.0	3.0	5.0	9.0	3.0	6.0	9.0	8.0	9.0	5.0	7.0	3.0	7.0	8
4.0	9.0	5.0	7.0	3.0	6.0	8.0	7.0	7.0	7.0	10.0	9.0	3.0	9.0	1.0	8.0	21
4.0	7.0	4.0	4.0	1.0	7.0	7.0	5.0	4.0	7.0	6.0	8.0	3.0	8.0	4.0	8.0	24
3.0	3.0	4.0	2.0	1.0	4.0	12.0	3.0	2.0	10.0	11.0	7.0	2.0	11.0	1.0	8.0	22
5.0	9.0	6.0	4.0	4.0	7.0	9.0	2.0	3.0	7.0	8.0	6.0	8.0	11.0	2.0	7.0	23
3.0	4.0	5.0	3.0	3.0	10.0	6.0	3.0	7.0	10.0	3.0	6.0	2.0	8.0	3.0	9.0	4
4.0	2.0	5.0	4.0	4.0	7.0	8.0	4.0	6.0	7.0	5.0	7.0	3.0	7.0	4.0	8.0	18
3.0	5.0	5.0	4.0	2.0	8.0	7.0	3.0	7.0	10.0	6.0	7.0	1.0	9.0	5.0	8.0	19
7.0	10.0	6.0	5.0	3.0	7.0	8.0	2.0	7.0	11.0	6.0	6.0	2.0	9.0	5.0	6.0	6
5.0	7.0	6.0	6.0	6.0	8.0	6.0	5.0	4.0	7.0	5.0	8.0	7.0	9.0	6.0	3.0	14
3.0	5.0	5.0	8.0	3.0	11.0	5.0	3.0	5.0	10.0	2.0	7.0	2.0	7.0	5.0	11.0	26
3.0	5.0	4.0	7.0	2.0	7.0	7.0	4.0	14.0	10.0	6.0	8.0	0.0	8.0	8.0	8.0	26
1.0	10.0	0.0	7.0	0.0	7.0	7.0	4.0	4.0	7.0	6.0	8.0	0.0	8.0	0.0	8.0	9
8.0	12.0	6.0	9.0	5.0	7.0	11.0	3.0	3.0	13.0	5.0	4.0	3.0	9.0	9.0	9.0	10
2.0	3.0	3.0	4.0	3.0	8.0	8.0	5.0	2.0	8.0	8.0	9.0	2.0	9.0	5.0	8.0	17
5.0	10.0	7.0	8.0	4.0	5.0	13.0	5.0	4.0	13.0	8.0	3.0	2.0	10.0	2.0	5.0	6
2.0	7.0	2.0	5.0	1.0	13.0	2.0	7.0	5.0	14.0	2.0	11.0	0.0	7.0	0.0	8.0	10
3.0	7.0	4.0	5.0	4.0	8.0	8.0	7.0	2.0	7.0	4.0	6.0	4.0	6.0	8.0	8.0	18
4.0	8.0	5.0	6.0	3.0	7.0	8.0	4.0	8.0	11.0	7.0	7.0	2.0	8.0	5.0	6.0	19
3.0	5.0	4.0	4.0	3.0	7.0	7.0	6.0	6.0	7.0	6.0	8.0	3.0	8.0	3.0	8.0	8
4.0	7.0	6.0	5.0	7.0	9.0	6.0	4.0	4.0	6.0	6.0	7.0	7.0	8.0	6.0	7.0	2
6.0	9.0	5.0	4.0	3.0	10.0	4.0	4.0	7.0	11.0	3.0	10.0	3.0	7.0	7.0	11.0	17
1.0	3.0	2.0	2.0	1.0	9.0	2.0	2.0	1.0	8.0	2.0	8.0	1.0	6.0	1.0	8.0	1
3.0	6.0	4.0	4.0	1.0	5.0	11.0	2.0	2.0	8.0	12.0	8.0	1.0	11.0	0.0	8.0	25
3.0	8.0	3.0	6.0	2.0	5.0	9.0	10.0	5.0	8.0	6.0	5.0	2.0	9.0	4.0	8.0	16
2.0	6.0	3.0	4.0	2.0	8.0	12.0	2.0	8.0	5.0	11.0	9.0	1.0	11.0	1.0	8.0	20
4.0	6.0	5.0	4.0	5.0	7.0	7.0	4.0	3.0	6.0	8.0	10.0	5.0	11.0	3.0	8.0	3
5.0	9.0	5.0	6.0	2.0	7.0	8.0	15.0	0.0	7.0	5.0	8.0	3.0	8.0	0.0	8.0	8
2.0	5.0	3.0	4.0	2.0	6.0	7.0	6.0	6.0	10.0	7.0	11.0	2.0	9.0	4.0	9.0	7
4.0	9.0	6.0	7.0	4.0	6.0	9.0	6.0	5.0	7.0	7.0	8.0	6.0	9.0	2.0	6.0	14
4.0	8.0	5.0	6.0	5.0	8.0	8.0	3.0	8.0	7.0	7.0	7.0	0.0	8.0	11.0	8.0	26
5.0	8.0	6.0	10.0	8.0	9.0	9.0	2.0	3.0	6.0	9.0	6.0	9.0	11.0	7.0	5.0	16
2.0	3.0	4.0	2.0	1.0	7.0	7.0	2.0	9.0	11.0	6.0	8.0	1.0	8.0	5.0	7.0	26
2.0	1.0	2.0	1.0	1.0	4.0	7.0	5.0	8.0	7.0	6.0	13.0	0.0	8.0	7.0	9.0	5
2.0	4.0	4.0	2.0	2.0	8.0	7.0	3.0	5.0	10.0	4.0	7.0	2.0	7.0	3.0	10.0	18
3.0	5.0	5.0	3.0	3.0	7.0	8.0	2.0	8.0	11.0	7.0	9.0	2.0	9.0	4.0	8.0	5
3.0	5.0	5.0	4.0	3.0	8.0	7.0	2.0	7.0	11.0	5.0	8.0	2.0	9.0	5.0	10.0	5
7.0	9.0	7.0	11.0	8.0	7.0	10.0	4.0	4.0	7.0	10.0	11.0	5.0	11.0	10.0	9.0	17
8.0	15.0	7.0	9.0	3.0	6.0	10.0	3.0	8.0	13.0	6.0	6.0	2.0	8.0	5.0	4.0	20
7.0	12.0	6.0	6.0	3.0	7.0	8.0	2.0	7.0	11.0	6.0	6.0	2.0	9.0	6.0	5.0	6
5.0	11.0	6.0	8.0	6.0	6.0	7.0	9.0	7.0	6.0	5.0	5.0	2.0	8.0	3.0	7.0	4
0.0	0.0	1.0	1.0	0.0	12.0	4.0	5.0	3.0	12.0	4.0	11.0	0.0	7.0	0.0	8.0	10
4.0	7.0	6.0	9.0	7.0	9.0	10.0	7.0	4.0	7.0	7.0	6.0	5.0	11.0	6.0	3.0	25
4.0	8.0	5.0	6.0	4.0	6.0	8.0	3.0	6.0	10.0	7.0	8.0	2.0	8.0	5.0	6.0	19
4.0	10.0	5.0	8.0	3.0	7.0	6.0	9.0	8.0	6.0	4.0	7.0	3.0	8.0	4.0	8.0	15
5.0	8.0	7.0	6.0	8.0	8.0	10.0	5.0	3.0	7.0	7.0	8.0	7.0	9.0	4.0	9.0	15
2.0	7.0	3.0	5.0	1.0	7.0	7.0	3.0	13.0	9.0	6.0	8.0	0.0	8.0	8.0	8.0	26
9.0	15.0	8.0	8.0	6.0	8.0	6.0	3.0	7.0	10.0	5.0	7.0	6.0	8.0	8.0	5.0	4
1.0	4.0	2.0	3.0	1.0	7.0	7.0	0.0	7.0	13.0	6.0	8.0	0.0	8.0	1.0	8.0	9
5.0	8.0	8.0	6.0	4.0	10.0	7.0	3.0	5.0	10.0	2.0	4.0	5.0	9.0	1.0	7.0	14
3.0	6.0	3.0	4.0	3.0	8.0	8.0	12.0	1.0	7.0	5.0	8.0	3.0	8.0	0.0	8.0	8
6.0	10.0	8.0	7.0	5.0	4.0	8.0	7.0	8.0	9.0	11.0	11.0	3.0	9.0	1.0	8.0	21
3.0	6.0	4.0	4.0	4.0	8.0	6.0	5.0	2.0	7.0	7.0	10.0	6.0	9.0	4.0	7.0	3
8.0	10.0	8.0	8.0	7.0	5.0	7.0	5.0	8.0	8.0	6.0	9.0	8.0	8.0	6.0	1.0	21
9.0	13.0	6.0	7.0	4.0	5.0	8.0	6.0	4.0	10.0	8.0	9.0	5.0	10.0	5.0	8.0	15
