cpu_avg_user	cpu_avg_sys	cpu_avg_busy	cpu_avg_wait	cpu_avg_idle	cpu_avg_waste	cpu_max_user	cpu_max_sys	cpu_max_busy	cpu_max_wait	cpu_max_idle	cpu_max_waste	cpu_frac_busy	io_iget	io_bread	io_bwrite	io_lread	io_lwrite	io_phread	io_phwrite	io_wcancel	io_namei	io_dirblk	disk_avg_active	disk_max_active	disk_frac_active	disk_avg_read	disk_avg_write	disk_avg_total	disk_max_read	disk_max_write	disk_max_total	disk_frac_busy	net_avg_read	net_avg_write	net_avg_total	net_max_read	net_max_write	net_max_total	net_frac_busy	mem_swap	mem_fault	mem_tlbflush	syscall_total	class
0.01251	0.06416000000000001	0.07667	0.3192	7.349	7.667999999999999	0.02265	0.2	0.2223	0.3302	54.71	55.03	0.0	144000.0	554400.0	2108000.0	674000.0	0.0	0.0	750.9	83.68	0.0	0.08829	0.5214	0.08333	1.3459999999999999	7.676	9.022	6.683	47.48	54.17	0.1667	14.98	2.4859999999999998	17.46	92.52	9.232999999999999	97.33	0.0	0.0	80.78	0.1333	384.7	0.9833	1
0.0035210000000000003	0.01877	0.02229	0.008792	0.9573	0.9661	0.01217	0.0715	0.08367000000000001	0.009333	0.9868	0.9961	0.0	6605.0	15500.0	69550.0	30940.0	0.0	0.0	750.9	5.367000000000001	0.0	0.002444	0.01633	0.0	0.075	0.1278	0.2028	0.45	1.217	1.317	0.0	29.96	5.3389999999999995	35.3	170.7	36.72	171.6	0.0	0.0	9.217	0.1333	386.4	0.1833	1
0.05345	0.0996	0.1531	0.7368	0.05094	0.7878	0.1129	0.1849	0.2474	0.8898	0.07463	0.9644	0.0	403300.0	487900.0	3033000.0	948400.0	0.0	19640.0	750.9	387.1	0.0	0.1278	0.736	0.1667	5.399	4.8180000000000005	10.22	31.9	29.53	61.43	0.1667	23.35	4.093	27.45	166.1	20.93	169.3	0.0	0.0	9.217	0.1333	974.1	0.1833	0
0.004417	0.0416	0.04602	0.2987	0.5585	0.8571	0.011170000000000001	0.1103	0.1215	0.3467	0.6457	0.9901	0.0	118000.0	358000.0	486200.0	943100.0	0.0	0.0	750.9	13.33	0.0	0.060110000000000004	0.319	0.0	1.653	3.25	4.9030000000000005	9.633	17.87	27.5	0.0	470.9	4.303	475.2	4604.0	21.0	4605.0	0.1667	0.0	9.35	0.1333	309.4	0.1833	0
0.05542999999999999	0.05972	0.1151	0.5453	0.29	0.8353	0.2199	0.09517	0.2791	0.6247	0.337	0.9617	0.0	261800.0	418100.0	931900.0	751200.0	0.0	45890.0	750.9	85.83	0.0	0.09077	0.5154	0.08333	3.553	3.883	7.436	21.08	22.7	43.68	0.1667	28.69	4.756	33.45	207.5	37.08	211.2	0.0	0.0	9.217	0.1333	574.2	0.1833	1
0.01475	0.08755	0.1023	0.8524	0.02112	0.8735	0.04465	0.1837	0.1981	0.9288	0.03167	0.9605	0.0	516900.0	1210000.0	3296000.0	2276000.0	0.0	28400.0	887.5	216.7	0.0	0.1574	0.7856	0.1667	6.867999999999999	4.84	11.71	40.55	22.27	62.82	0.1667	25.89	4.644	30.54	184.9	30.27	189.1	0.0	0.0	11.72	0.1333	749.7	0.2667	0
0.006229	0.04716	0.05339	0.3405	0.5815	0.922	0.01617	0.1017	0.1178	0.3633	0.6165	0.9792	0.0	155700.0	256300.0	427600.0	827000.0	0.0	0.0	750.9	23.3	0.0	0.054020000000000006	0.2939	0.0	2.197	2.178	4.375	13.2	12.03	25.23	0.0	48.58	6.9639999999999995	55.54	255.6	41.37	258.6	0.0	0.0	18.22	0.1333	615.0	0.8	1
0.01001	0.04098	0.05099	0.3225	0.6025	0.9249	0.020819999999999998	0.07115	0.08997000000000001	0.3421	0.6361	0.9783	0.0	125100.0	390500.0	579800.0	1141000.0	0.0	0.0	20870.0	16.9	0.0	0.05898	0.3195	0.0	1.587	3.2880000000000003	4.875	9.25	18.92	28.17	0.0	45.72	5.756	51.47	356.9	34.9	358.3	0.0	0.0	23.68	0.1333	500.9	0.4833	1
0.005417	0.04143	0.04685	0.3761	0.5648	0.941	0.0125	0.09945	0.1103	0.3916	0.5894	0.981	0.0	159000.0	393200.0	529000.0	1056000.0	0.0	0.0	750.9	19.3	0.0	0.06784	0.3806	0.0	1.9680000000000002	3.635	5.603	11.77	21.45	33.22	0.0	14.73	7.01	21.74	42.65	36.97	79.57	0.0	0.0	9.217	0.1333	490.2	0.1833	1
0.02104	0.373	0.3941	0.3861	0.1398	0.526	0.02835	0.4328	0.4573	0.4723	0.1705	0.6356	0.0	294600.0	1209000.0	3080000.0	2818000.0	0.0	925300.0	887.5	80.72	0.0	0.1383	0.5009	0.08333	1.7209999999999999	9.228	10.95	6.517	37.02	43.53	0.08333	81.22	30.18	111.4	564.1	221.5	624.2	0.1667	0.0	28.43	0.1333	2099.0	0.85	0
0.006562	0.04406	0.05062	0.3709	0.5662	0.9371	0.0125	0.08199999999999999	0.0945	0.3903	0.5964	0.9839	0.0	149500.0	444600.0	587800.0	1216000.0	0.0	0.0	955.7	24.38	0.0	0.06872	0.3795	0.0	1.876	3.7510000000000003	5.627999999999999	10.92	22.27	33.18	0.0	13.45	6.194	19.64	44.45	33.8	71.87	0.0	0.0	20.4	0.1333	537.4	0.7167	1
0.1945	17.43	17.63	0.1569	0.1648	0.3217	0.2319	136.3	136.5	0.1818	0.2034	0.3852	0.125	3538000.0	776900.0	5583000.0	9846000.0	0.0	0.0	191100.0	346.0	0.0	0.1272	0.5528	0.08333	6.212000000000001	2.9189999999999996	9.132	49.22	12.27	49.4	0.08333	18.98	6.1739999999999995	25.16	90.82	30.27	95.33	0.0	0.0	450.6	0.1333	2976.0	4.05	0
0.006375	0.06813	0.0745	0.7488	0.1536	0.9024	0.011000000000000001	0.1105	0.1175	0.8011	0.179	0.9801	0.0	198500.0	827400.0	1271000.0	2479000.0	0.0	0.0	819.2	36.92	0.0	0.1328	0.7708	0.1667	3.667	7.917000000000001	11.58	21.93	47.82	69.75	0.1667	16.97	3.847	20.82	90.63	21.37	95.55	0.0	0.0	9.417	0.1333	427.7	0.2	1
0.004419	0.03308	0.0375	0.366	0.5837	0.9497	0.0135	0.07747000000000001	0.09097000000000001	0.3806	0.6082	0.9889	0.0	132100.0	426200.0	585700.0	1219000.0	0.0	0.0	836.3	14.9	0.0	0.06568	0.3635	0.0	1.8319999999999999	3.5380000000000003	5.369	10.82	20.93	31.75	0.0	16.17	3.8489999999999998	20.02	94.97	24.3	99.0	0.0	0.0	10.13	0.1333	339.6	0.2167	1
0.0033539999999999998	0.023540000000000002	0.026889999999999997	0.0	0.9611	0.9611	0.009333	0.06165	0.06865	0.0	0.9982	0.9982	0.0	3004.0	8533.0	37840.0	23360.0	0.0	0.0	750.9	5.2829999999999995	0.0	0.0010539999999999998	0.01265	0.0	0.0	0.08889	0.08889	0.0	1.067	1.067	0.0	33.07	6.433	39.5	183.4	60.17	184.8	0.0	0.0	9.35	0.1333	483.0	0.1833	1
0.004731	0.039060000000000004	0.043789999999999996	0.4408	0.5008	0.9416	0.008667	0.052329999999999995	0.061	0.4567	0.5243	0.9805	0.0	155900.0	424400.0	650800.0	1341000.0	0.0	0.0	2048.0	19.12	0.0	0.07332000000000001	0.4042	0.0	2.299	3.785	6.082999999999999	13.23	22.32	35.55	0.0	17.59	3.826	21.42	95.35	19.62	100.4	0.0	0.0	13.6	0.1333	405.9	0.3333	1
0.05527000000000001	0.06042	0.1157	0.5884	0.2472	0.8356	0.1471	0.1005	0.2055	0.6816	0.299	0.9806	0.0	268300.0	407700.0	1147000.0	832000.0	0.0	49150.0	750.9	93.05	0.0	0.09547	0.5505	0.1667	3.835	4.074	7.9079999999999995	22.9	24.3	46.8	0.1667	21.78	4.7330000000000005	26.52	118.6	35.65	122.4	0.0	0.0	9.217	0.1333	582.6	0.1833	1
0.01187	0.07596	0.08782999999999999	0.8783	0.0122	0.8905	0.02248	0.14400000000000002	0.1615	0.956	0.017669999999999998	0.9725	0.0	566300.0	1053000.0	3018000.0	1709000.0	0.0	20740.0	955.7	168.8	0.0	0.1601	0.7968	0.1667	6.702999999999999	4.669	11.37	38.68	21.92	60.27	0.1667	23.91	4.301	28.21	163.2	25.77	166.4	0.0	0.0	20.38	0.1333	595.0	0.7167	0
0.1979	0.5453	0.7431	0.2057	0.01347	0.2191	0.2244	0.5747	0.7718	0.2415	0.01715	0.255	1.0	740400.0	1044000.0	3417000.0	3022000.0	0.0	26210.0	109500.0	622.7	0.0	0.14800000000000002	0.5498	0.1667	5.353	5.239	10.59	27.07	15.25	42.32	0.08333	17.48	4.382	21.86	93.5	29.83	96.43	0.0	0.0	668.4	0.1333	2395.0	5.767	0
0.002896	0.05567999999999999	0.05857999999999999	0.4794	0.4435	0.9229	0.005833	0.1525	0.1563	0.505	0.4873	0.9923	0.0	107400.0	664700.0	2042000.0	965200.0	0.0	0.0	750.9	58.0	0.0	0.09965	0.5958	0.1667	1.399	7.56	8.958	8.3	46.37	54.67	0.1667	15.59	2.696	18.28	94.28	10.37	97.5	0.0	0.0	9.417	0.1333	313.8	0.2	1
0.01434	0.08092	0.09526	0.8608	0.0205	0.8813	0.03715	0.2046	0.2105	0.9371	0.02883	0.966	0.0	578100.0	1243000.0	2945000.0	2069000.0	0.0	31680.0	750.9	178.6	0.0	0.1612	0.7859999999999999	0.1667	7.183	4.485	11.67	41.33	19.4	60.73	0.1667	24.6	4.7010000000000005	29.3	171.3	33.03	175.4	0.0	0.0	9.25	0.1333	661.5	0.1833	0
0.1085	0.4367	0.5451	0.3091	0.061079999999999995	0.3702	0.141	0.5029	0.6347	0.363	0.07385	0.4337	0.0	466400.0	342500.0	3683000.0	5147000.0	0.0	8755.0	204000.0	369.9	0.0	0.0913	0.4001	0.0	3.95	3.128	7.077999999999999	19.95	11.03	30.98	0.0	17.99	3.571	21.56	115.4	14.3	118.9	0.0	0.0	535.8	0.1333	2328.0	8.95	0
0.00325	0.02029	0.023540000000000002	0.0	0.9718	0.9718	0.008	0.04398	0.05198	0.0	0.9967	0.9967	0.0	3004.0	8260.0	34100.0	23040.0	0.0	0.0	750.9	5.05	0.0	0.0009875	0.01185	0.0	0.0	0.08472	0.08472	0.0	1.0170000000000001	1.0170000000000001	0.0	13.48	5.39	18.87	39.45	34.63	74.08	0.0	0.0	9.267000000000001	0.1333	399.2	0.1833	1
0.004543999999999999	0.033460000000000004	0.03801	0.42	0.5293	0.9493	0.01135	0.0627	0.07405	0.439	0.5475	0.9818	0.0	137300.0	407600.0	593200.0	1117000.0	0.0	0.0	750.9	15.5	0.0	0.06932999999999999	0.3712	0.0	2.274	3.522	5.796	13.47	19.4	32.38	0.0	17.77	3.342	21.11	93.22	14.77	99.68	0.0	0.0	9.217	0.1333	339.1	0.1833	1
0.004685	0.03205	0.036739999999999995	0.4298	0.5197	0.9496	0.01248	0.0673	0.07977999999999999	0.4501	0.5465	0.9966	0.0	150300.0	427700.0	571300.0	1200000.0	0.0	0.0	750.9	15.62	0.0	0.06935	0.3876	0.0	2.356	3.303	5.6579999999999995	14.18	19.15	33.33	0.0	16.52	2.9539999999999997	19.47	102.5	15.27	105.9	0.0	0.0	9.217	0.1333	322.9	0.1833	1
0.0439	0.059410000000000004	0.1033	0.09235	0.7861	0.8784	0.1979	0.1958	0.3937	0.09988	0.8879	0.9855	0.0	92090.0	480700.0	1175000.0	3644000.0	0.0	0.0	1775.0	66.43	0.0	0.02562	0.3074	0.0	0.1194	2.278	2.397	1.433	27.33	28.77	0.0	30.42	7.125	37.54	196.1	34.52	201.4	0.0	0.0	16.82	1.3330000000000002	480.4	0.1833	0
0.0403	0.3049	0.3452	0.5934	0.02207	0.6155	0.05363	0.3406	0.3826	0.677	0.03147	0.7077	0.0	764500.0	1272000.0	3533000.0	2923000.0	0.0	28930.0	177800.0	394.5	0.0	0.1688	0.703	0.1667	7.046	4.803	11.85	37.47	16.98	54.45	0.1667	32.33	9.54	41.87	204.0	34.77	218.8	0.0	0.0	379.9	0.1333	1976.0	6.9670000000000005	0
0.00704	0.052289999999999996	0.059329999999999994	0.02235	0.9113	0.9336	0.02765	0.1992	0.2268	0.02417	0.968	0.9908	0.0	29560.0	62740.0	491900.0	17430000.0	0.0	0.0	750.9	9.95	0.0	0.007081999999999999	0.04685	0.0	0.07917	0.4889	0.5681	0.85	2.8169999999999997	3.667	0.0	14.4	7.006	21.41	45.13	38.27	83.4	0.0	0.0	16.18	0.1333	1366.0	0.5667	1
0.1134	0.5198	0.6332	0.2763	0.002833	0.2791	0.1581	0.6273	0.7451	0.4055	0.0055	0.41100000000000003	0.375	1660000.0	861200.0	7042000.0	7438000.0	0.0	13640.0	147200.0	405.6	0.0	0.1774	0.713	0.1667	8.256	4.7330000000000005	12.99	31.75	20.08	51.83	0.1667	17.82	3.367	21.19	108.2	21.5	110.7	0.0	0.0	372.3	0.1333	2586.0	6.25	0
0.01959	0.126	0.1456	0.3785	0.4167	0.7952	0.032	0.1727	0.1972	0.4368	0.508	0.9448	0.0	392900.0	536500.0	2002000.0	4251000.0	0.0	0.0	115500.0	270.3	0.0	0.08113	0.2838	0.0	2.946	3.25	6.196000000000001	8.7	15.53	24.03	0.0	103.4	6.457999999999999	109.9	894.7	39.3	895.4	0.08333	0.0	109.2	0.1333	1424.0	5.95	1
0.001812	0.01227	0.01408	0.0003958	0.9802	0.9806	0.007	0.022330000000000003	0.0245	0.0005	0.9935	0.9940000000000001	0.0	3106.0	6656.0	22170.0	19250.0	0.0	0.0	750.9	3.633	0.0	0.0008333	0.0095	0.0	0.002778	0.06667000000000001	0.06944	0.016669999999999997	0.75	0.7667	0.0	16.63	2.3369999999999997	18.97	105.3	8.75	112.1	0.0	0.0	9.217	0.1333	232.0	0.1833	1
0.001667	0.01281	0.014480000000000002	0.002708	8853.0	8853.0	0.0035	0.02733	0.02967	0.003167	70820.0	70820.0	0.0	4710.0	9882.0	31620.0	24660.0	0.0	0.0	750.9	3.767	0.0	0.001153	0.009	0.0	0.02361	0.08056	0.1042	0.2	0.7667	0.7667	0.0	14.82	2.399	17.22	87.08	8.683	94.65	0.0	0.0	9.217	0.1333	221.7	0.1833	1
0.004083	0.0326	0.036680000000000004	0.3483	0.6052	0.9535	0.014819999999999998	0.1018	0.1166	0.3637	0.6289	0.9918	0.0	127000.0	400900.0	550500.0	1179000.0	0.0	0.0	750.9	15.38	0.0	0.06335	0.3455	0.0	1.896	3.324	5.218999999999999	11.08	19.07	30.15	0.0	10.3	3.7539999999999996	14.06	40.53	17.1	57.63	0.0	0.0	9.217	0.1333	340.1	0.1833	1
0.004102000000000001	0.02997	0.03408	0.3915	0.5647	0.9562	0.01265	0.06465	0.07115	0.4097	0.5862	0.9939	0.0	142100.0	404500.0	572100.0	1076000.0	0.0	0.0	750.9	14.28	0.0	0.06796	0.3804	0.0	2.15	3.5239999999999996	5.6739999999999995	12.82	20.57	33.38	0.0	9.449	2.821	12.27	33.98	12.6	46.58	0.0	0.0	9.232999999999999	0.1333	325.6	0.1833	1
0.08764	13.13	13.21	0.3274	0.04183	0.3692	0.1203	101.7	101.7	0.4749	0.07457000000000001	0.5495	0.25	572400.0	526300.0	5772000.0	6636000.0	0.0	35700.0	86780.0	434.9	0.0	0.1278	0.5089	0.08333	5.971	3.8960000000000004	9.867	24.37	15.38	39.75	0.0	20.14	7.306	27.44	100.1	32.7	104.1	0.0	0.0	318.9	0.1333	2250.0	5.2	0
0.009183	0.09531	0.1045	0.7164	0.1558	0.8722	0.020319999999999998	0.26	0.2803	0.782	0.1886	0.9658	0.0	255200.0	858100.0	1568000.0	14610000.0	0.0	0.0	819.2	34.22	0.0	0.1326	0.7672	0.1667	3.696	7.771	11.47	22.37	46.58	68.95	0.1667	17.4	3.2239999999999998	20.62	94.0	18.78	97.37	0.0	0.0	9.917	0.1333	1025.0	0.2	1
0.0104	0.08242999999999999	0.09283	0.3433	0.5364	0.8797	0.01732	0.1247	0.13699999999999998	0.3769	0.5966	0.9735	0.0	445000.0	641800.0	1090000.0	1304000.0	0.0	0.0	2048.0	41.87	0.0	0.07406	0.3129	0.0	2.056	3.785	5.84	12.08	17.77	26.77	0.0	40.0	17.23	57.22	188.5	133.0	233.0	0.0	0.0	31.4	0.1333	551.5	0.3333	1
0.1299	0.5047	0.6346	0.2102	0.1273	0.3375	0.1524	0.5367	0.6778	0.256	0.1497	0.3952	0.0	676700.0	454900.0	1852000.0	2043000.0	0.0	431400.0	104500.0	436.7	0.0	0.08229	0.2957	0.0	3.0380000000000003	2.907	5.944	10.82	13.13	23.95	0.0	30.46	16.4	46.86	174.6	174.6	349.2	0.0	0.0	559.2	0.1333	2698.0	6.167000000000001	0
0.01951	0.4578	0.4773	0.3607	0.08475	0.4454	0.02485	0.6093	0.6243	0.4697	0.1047	0.5711	0.0	440200.0	851700.0	4012000.0	15220000.0	0.0	768800.0	819.2	168.9	0.0	0.1238	0.5683	0.1667	3.092	6.7139999999999995	9.806000000000001	11.05	36.12	46.9	0.1667	73.54	25.02	98.56	536.6	173.3	566.2	0.08333	0.0	27.83	0.1333	2231.0	0.6	0
0.004835	0.03879	0.04362	0.3219	0.6251	0.9470000000000001	0.01217	0.07898	0.08382	0.3357	0.6525	0.9848	0.0	148300.0	387100.0	605400.0	2532000.0	0.0	0.0	750.9	12.97	0.0	0.06046	0.3262	0.0	1.786	3.1489999999999996	4.935	10.97	17.48	28.45	0.0	9.753	3.015	12.77	33.3	13.47	46.77	0.0	0.0	9.232999999999999	0.1333	647.5	0.1833	1
0.00425	0.0351	0.03935	0.4429	0.5016	0.9446	0.008667	0.058320000000000004	0.06698	0.4614	0.5241	0.9855	0.0	138500.0	437100.0	630300.0	1306000.0	0.0	0.0	750.9	16.13	0.0	0.07282000000000001	0.4089	0.0	2.283	3.815	6.099	13.55	22.22	35.77	0.0	22.68	3.182	25.86	92.92	15.43	97.7	0.0	0.0	9.217	0.1333	349.1	0.1833	1
0.004521	0.031439999999999996	0.03596	0.3103	0.6431	0.9534	0.009167	0.05882999999999999	0.06783	0.3239	0.6661	0.99	0.0	115300.0	394200.0	508800.0	1157000.0	0.0	0.0	750.9	16.63	0.0	0.059820000000000005	0.3086	0.0	1.636	3.283	4.919	9.917	17.8	26.9	0.0	10.86	3.865	14.73	38.97	16.22	55.18	0.0	0.0	9.25	0.1333	341.4	0.1833	1
0.002583	0.05152999999999999	0.054110000000000005	0.3428	8853.0	8854.0	0.005	0.1283	0.1308	0.3518	70820.0	70820.0	0.0	46280.0	568900.0	2015000.0	659200.0	0.0	0.0	750.9	58.93	0.0	0.08646000000000001	0.5353	0.08333	0.6903	7.811	8.501	4.283	49.63	53.63	0.1667	16.01	2.5610000000000004	18.57	93.58	8.732999999999999	96.5	0.0	0.0	9.283	0.1333	287.3	0.1833	1
0.04722	0.1272	0.1744	0.461	0.3381	0.7991	0.2585	0.4674	0.7259	0.5436	0.4179	0.9616	0.125	293100.0	482600.0	4686000.0	1310000.0	0.0	0.0	955.7	238.1	0.0	0.0914	0.3769	0.0	3.556	4.096	7.651	15.62	18.88	32.65	0.0	35.95	12.11	48.07	195.7	90.12	203.2	0.0	0.0	27.87	97.88	922.1	0.3167	0
0.1919	0.2936	0.4855	0.4142	0.0741	0.4883	0.4196	0.3506	0.6554	0.4906	0.10099999999999999	0.5916	0.0	1936000.0	512800.0	3485000.0	6955000.0	0.0	0.0	171200.0	248.8	0.0	0.1256	0.5831	0.08333	4.293	3.207	7.5	23.87	14.85	25.5	0.0	20.63	2.682	23.31	97.53	10.72	100.4	0.0	0.0	367.8	0.1333	2091.0	3.383	1
0.00519	0.03451	0.0397	0.4671	0.4796	0.9467	0.009683	0.0747	0.08438	0.489	0.5053	0.9943	0.0	148300.0	422400.0	625100.0	1197000.0	0.0	0.0	750.9	16.28	0.0	0.07391	0.4127	0.0	2.324	3.925	6.249	14.1	23.35	36.62	0.0	16.2	3.029	19.23	91.67	14.93	96.27	0.0	0.0	9.232999999999999	0.1333	349.7	0.1833	1
0.02053	0.3677	0.3882	0.4417	0.08522	0.5269	0.03298	0.4202	0.44799999999999995	0.5660000000000001	0.1145	0.6805	0.0	1166000.0	753200.0	3427000.0	1254000.0	0.0	899300.0	887.5	71.62	0.0	0.1367	0.5727	0.1667	2.864	8.201	11.07	15.93	40.25	48.97	0.1667	83.58	24.3	107.9	556.7	199.4	592.7	0.08333	0.0	12.35	0.1333	2210.0	0.7333	0
0.008438	0.051089999999999997	0.05952	0.392	0.5007	0.8926	0.02017	0.08687	0.09737	0.4245	0.5443	0.9633	0.0	232400.0	492000.0	683000.0	1514000.0	0.0	0.0	11200.0	16.0	0.0	0.07202	0.3705	0.0	2.278	3.471	5.749	13.77	19.0	32.02	0.0	183.2	6.65	189.9	1698.0	38.45	1698.0	0.1667	0.0	24.0	0.1333	464.2	0.2167	1
0.179	0.3699	0.5489	0.3412	0.07751	0.4187	0.2124	0.4341	0.6095	0.4434	0.111	0.5544	0.0	1930000.0	463500.0	3456000.0	4964000.0	0.0	0.0	152700.0	368.6	0.0	0.1183	0.4862	0.0	5.353	3.3810000000000002	8.732999999999999	36.7	13.63	36.72	0.0	16.99	2.929	19.92	95.2	12.7	99.0	0.0	0.0	553.5	0.1333	2577.0	5.5329999999999995	0
0.004667	0.032760000000000004	0.03742	0.3501	0.5979	0.9479	0.0155	0.08752	0.10300000000000001	0.3671	0.6243	0.9914	0.0	118600.0	402000.0	532300.0	1170000.0	0.0	0.0	750.9	14.43	0.0	0.06059	0.3354	0.0	1.74	3.1830000000000003	4.9239999999999995	10.72	18.3	29.02	0.0	17.85	3.6710000000000003	21.52	92.0	20.7	97.12	0.0	0.0	9.417	0.1333	342.7	0.2	1
0.05212000000000001	0.05736	0.1095	0.3526	0.5147	0.8673	0.2343	0.09302	0.3122	0.4011	0.5805	0.9815	0.0	325900.0	627600.0	708500.0	3259000.0	0.0	0.0	1434.0	21.63	0.0	0.07491	0.354	0.0	1.965	3.8680000000000003	5.832999999999999	11.6	19.37	30.97	0.0	34.38	9.197000000000001	43.58	200.9	42.58	207.5	0.0	0.0	20.3	1.067	526.0	0.1833	1
0.006873000000000001	0.052489999999999995	0.05936	0.3755	0.5525	0.9279999999999999	0.020319999999999998	0.1436	0.1639	0.4046	0.5871	0.9874	0.0	153700.0	402800.0	765700.0	12390000.0	0.0	0.0	750.9	15.72	0.0	0.06523	0.3595	0.0	2.16	3.162	5.322	13.22	17.95	31.17	0.0	16.25	3.6260000000000003	19.88	58.72	15.57	69.52	0.0	0.0	9.417	0.1333	887.6	0.2	1
