A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	class
-325.0	183.0	2084.0	42.0	931.0	2018.0	57.0	614.0	106.0	-29.0	-83.0	-76.0	503.0	1316.0	192.0	634.0	-78.0	1104.0	666.0	823.0	1
903.0	-158.0	-151.0	857.0	1722.0	-1657.0	4326.0	817.0	878.0	-1484.0	2662.0	1.0	-289.0	-937.0	1265.0	591.0	-442.0	-1687.0	-1546.0	2924.0	0
-945.0	195.0	1867.0	-654.0	-795.0	489.0	-1381.0	-1931.0	-439.0	-1563.0	-744.0	217.0	-2765.0	1443.0	-698.0	98.0	2279.0	-1372.0	-3388.0	191.0	0
626.0	2194.0	994.0	1881.0	724.0	-37.0	1615.0	805.0	709.0	1182.0	117.0	1119.0	-487.0	-376.0	-787.0	1315.0	727.0	-1318.0	1315.0	-139.0	1
2019.0	-787.0	2098.0	557.0	1907.0	-937.0	-934.0	284.0	255.0	2256.0	-292.0	-848.0	795.0	-17.0	2041.0	2964.0	-218.0	1198.0	77.0	-1256.0	1
2191.0	68.0	452.0	52.0	916.0	1555.0	736.0	-132.0	1967.0	-2404.0	1067.0	1136.0	1705.0	203.0	-542.0	547.0	-1279.0	589.0	-1062.0	-896.0	1
2212.0	-1694.0	-533.0	67.0	-1763.0	9.0	-882.0	1158.0	-516.0	1889.0	-853.0	-1129.0	-134.0	-1822.0	303.0	-1829.0	-281.0	3215.0	-505.0	-1286.0	0
1306.0	909.0	504.0	594.0	118.0	-341.0	14.0	-61.0	12.0	133.0	1559.0	-202.0	2786.0	3866.0	3054.0	261.0	-572.0	-656.0	745.0	-573.0	1
449.0	985.0	837.0	-312.0	4343.0	94.0	-517.0	-2368.0	-959.0	896.0	-1683.0	-1285.0	-114.0	-26.0	1408.0	-1306.0	-1231.0	1928.0	-2833.0	-1164.0	0
2563.0	-1449.0	1505.0	-2023.0	-1027.0	2366.0	556.0	-1954.0	4122.0	2748.0	-1536.0	3128.0	-151.0	-132.0	721.0	2122.0	-2611.0	-2612.0	-473.0	68.0	0
-828.0	3.0	1504.0	-3182.0	-1667.0	25.0	-4599.0	-1431.0	-316.0	-1546.0	-2734.0	-1772.0	1692.0	-124.0	4311.0	-2008.0	4266.0	-399.0	-707.0	-1995.0	0
1262.0	518.0	2864.0	-1292.0	-5078.0	-47.0	313.0	417.0	-3454.0	-503.0	2544.0	1316.0	1242.0	-37.0	-2825.0	198.0	1296.0	-3698.0	1378.0	2362.0	0
1668.0	1046.0	-892.0	1126.0	1048.0	576.0	61.0	-288.0	2006.0	1481.0	722.0	1288.0	384.0	902.0	1595.0	-729.0	437.0	-156.0	1392.0	-323.0	1
1305.0	204.0	-394.0	953.0	222.0	-1443.0	5.0	1049.0	1833.0	-1816.0	2768.0	-928.0	-195.0	1521.0	3833.0	-193.0	1984.0	33.0	-2919.0	-553.0	0
-892.0	1352.0	634.0	35.0	506.0	1136.0	-1563.0	25.0	-308.0	-1812.0	606.0	34.0	978.0	258.0	24.0	146.0	1302.0	142.0	23.0	718.0	1
568.0	1177.0	2405.0	65.0	-942.0	71.0	3324.0	-282.0	-297.0	-158.0	-418.0	1135.0	1287.0	512.0	-634.0	-1552.0	327.0	-502.0	-1106.0	-547.0	1
4938.0	-719.0	-114.0	-392.0	-128.0	-1174.0	-33.0	-61.0	-125.0	3066.0	-2004.0	-981.0	1414.0	-2735.0	199.0	1467.0	178.0	-3348.0	-423.0	3378.0	0
-1163.0	-543.0	1239.0	446.0	-3732.0	-1951.0	166.0	-162.0	1399.0	-137.0	-46.0	72.0	-276.0	-322.0	1301.0	-282.0	-83.0	1108.0	2262.0	1392.0	0
1354.0	344.0	11.0	-2036.0	1583.0	-2839.0	1081.0	506.0	4428.0	-2267.0	3829.0	2246.0	671.0	275.0	-287.0	-1255.0	3584.0	361.0	2297.0	2462.0	0
89.0	-74.0	-526.0	1415.0	-154.0	489.0	-249.0	1257.0	84.0	655.0	239.0	667.0	836.0	213.0	-83.0	1152.0	1144.0	2801.0	2162.0	1371.0	1
-2907.0	-639.0	1224.0	-2121.0	3932.0	-2147.0	-1.0	3571.0	-1833.0	244.0	-74.0	-3299.0	-521.0	-183.0	281.0	1501.0	-447.0	1403.0	86.0	1095.0	0
74.0	1193.0	341.0	62.0	-2109.0	333.0	-21.0	2762.0	356.0	-3916.0	2528.0	2466.0	3257.0	994.0	-3216.0	243.0	-1288.0	53.0	1199.0	2526.0	0
-623.0	925.0	101.0	1955.0	-241.0	702.0	569.0	-1512.0	625.0	298.0	-31.0	1191.0	731.0	956.0	479.0	1967.0	273.0	17.0	859.0	735.0	1
-2897.0	2689.0	1745.0	-2662.0	-2081.0	63.0	-2164.0	-1767.0	-1045.0	2514.0	1287.0	-4.0	2321.0	-1347.0	-2357.0	1378.0	-48.0	1135.0	-1886.0	159.0	0
-2853.0	-1406.0	-2902.0	-122.0	88.0	-259.0	78.0	-6164.0	-3252.0	-485.0	703.0	-348.0	-317.0	-1046.0	78.0	104.0	-3832.0	47.0	997.0	98.0	0
1143.0	618.0	1154.0	2162.0	868.0	-76.0	205.0	-64.0	639.0	-33.0	261.0	604.0	-707.0	39.0	124.0	551.0	73.0	701.0	184.0	803.0	1
127.0	-1396.0	-14.0	-343.0	-1101.0	958.0	2484.0	-52.0	-1466.0	1426.0	-1647.0	1228.0	3364.0	-882.0	2381.0	1419.0	848.0	263.0	-2306.0	-1299.0	0
244.0	453.0	818.0	-3223.0	-2318.0	-95.0	-1738.0	2462.0	-4581.0	1753.0	3709.0	848.0	4672.0	-88.0	948.0	2745.0	-1111.0	618.0	1573.0	-1026.0	0
698.0	2911.0	-318.0	-1031.0	332.0	-1298.0	1043.0	2232.0	1685.0	1355.0	623.0	-127.0	392.0	749.0	-322.0	-657.0	-879.0	127.0	-666.0	19.0	1
87.0	3034.0	1932.0	5094.0	-4293.0	-2943.0	-241.0	-3455.0	5762.0	-12.0	1284.0	5028.0	186.0	-3381.0	-195.0	-1562.0	-2779.0	2788.0	-131.0	1588.0	0
-434.0	239.0	-887.0	808.0	-278.0	-776.0	826.0	-193.0	2143.0	-1727.0	947.0	1451.0	29.0	377.0	1774.0	612.0	304.0	-979.0	578.0	842.0	1
832.0	873.0	238.0	-1591.0	264.0	-1102.0	1267.0	-174.0	-18.0	874.0	-492.0	66.0	1956.0	2323.0	-1366.0	338.0	-396.0	1061.0	-792.0	-96.0	0
2725.0	-314.0	377.0	1045.0	536.0	-1496.0	-221.0	-176.0	4247.0	2791.0	643.0	-2048.0	-2869.0	68.0	-362.0	-1294.0	679.0	-2423.0	-102.0	4513.0	0
146.0	289.0	1366.0	-877.0	146.0	8.0	624.0	149.0	567.0	11.0	96.0	2627.0	-442.0	-988.0	1791.0	876.0	-249.0	2676.0	484.0	866.0	1
-148.0	-173.0	622.0	1136.0	-249.0	-48.0	738.0	-101.0	1266.0	-55.0	-2348.0	1662.0	235.0	163.0	16.0	1318.0	151.0	422.0	2022.0	1138.0	1
67.0	1762.0	983.0	605.0	822.0	138.0	107.0	1678.0	-296.0	-361.0	192.0	1324.0	277.0	-0.0	2093.0	-408.0	1708.0	-638.0	-1745.0	884.0	1
-2564.0	-536.0	739.0	-1377.0	209.0	-971.0	-66.0	-2061.0	-3636.0	-3053.0	1958.0	-1382.0	-1562.0	2082.0	-166.0	-1261.0	438.0	-3838.0	-559.0	-1433.0	0
-831.0	127.0	-764.0	-1826.0	264.0	-2861.0	-3332.0	1673.0	-843.0	-793.0	-3285.0	-805.0	1342.0	581.0	-1053.0	-5426.0	-1076.0	1226.0	-412.0	66.0	0
1753.0	298.0	826.0	-716.0	888.0	555.0	609.0	562.0	166.0	26.0	-229.0	-226.0	243.0	-1.0	-1617.0	913.0	1841.0	-742.0	-146.0	-344.0	1
2891.0	-608.0	-633.0	2319.0	3843.0	-335.0	2522.0	2787.0	-2532.0	1289.0	1971.0	5856.0	-486.0	-3639.0	-1547.0	105.0	-1834.0	-325.0	988.0	-2407.0	0
-291.0	-654.0	1568.0	-2044.0	3824.0	457.0	-1116.0	-537.0	-3795.0	2014.0	1665.0	-2523.0	3879.0	-657.0	-1383.0	-203.0	-962.0	-1771.0	-1953.0	-3288.0	0
1184.0	-1025.0	513.0	672.0	1486.0	257.0	335.0	2603.0	158.0	1151.0	561.0	912.0	927.0	139.0	787.0	-35.0	3.0	-857.0	562.0	1147.0	1
34.0	3296.0	-83.0	-85.0	959.0	161.0	2326.0	-66.0	1217.0	237.0	1228.0	652.0	-754.0	887.0	1781.0	656.0	1172.0	395.0	988.0	272.0	1
516.0	175.0	-335.0	-2057.0	-1229.0	974.0	135.0	1486.0	-2736.0	-999.0	2214.0	-1686.0	-2912.0	1505.0	1452.0	233.0	1733.0	2089.0	1258.0	-3647.0	0
-298.0	791.0	1994.0	-479.0	-927.0	2394.0	38.0	1283.0	-2815.0	3649.0	-2436.0	-1654.0	2224.0	-3142.0	5817.0	3381.0	4779.0	-3182.0	-1604.0	907.0	0
-19.0	94.0	1245.0	171.0	1737.0	1723.0	137.0	-1271.0	-516.0	-294.0	93.0	1483.0	362.0	1771.0	2478.0	-1234.0	988.0	519.0	434.0	-906.0	1
29.0	1841.0	-222.0	5183.0	14.0	-1277.0	1427.0	-1134.0	-111.0	-1288.0	-1789.0	-828.0	-4637.0	46.0	117.0	-1051.0	848.0	-2997.0	-723.0	735.0	0
1332.0	-91.0	1243.0	-35.0	2332.0	876.0	21.0	623.0	735.0	1327.0	744.0	296.0	1511.0	711.0	-698.0	-746.0	241.0	-68.0	603.0	2566.0	1
-437.0	1061.0	-742.0	996.0	57.0	646.0	829.0	1926.0	1355.0	-307.0	-29.0	413.0	2271.0	463.0	1383.0	792.0	1119.0	712.0	1343.0	1178.0	1
3333.0	1133.0	1623.0	-1915.0	2069.0	2144.0	457.0	814.0	9.0	97.0	1708.0	-4284.0	2354.0	-2837.0	3227.0	-465.0	-2107.0	584.0	-875.0	2097.0	0
-3264.0	-1188.0	1477.0	339.0	11.0	-1529.0	978.0	-1864.0	-3376.0	1053.0	-1986.0	-132.0	539.0	-393.0	-5536.0	689.0	4206.0	723.0	1152.0	1101.0	0
1263.0	2132.0	-1236.0	1203.0	-1804.0	-147.0	803.0	-259.0	2204.0	-581.0	-228.0	241.0	116.0	1486.0	-1416.0	-89.0	262.0	875.0	136.0	817.0	1
244.0	355.0	1602.0	1038.0	1237.0	1995.0	1564.0	251.0	859.0	-196.0	173.0	1339.0	-92.0	-901.0	632.0	-146.0	25.0	1196.0	1804.0	45.0	1
-93.0	1471.0	-489.0	-2165.0	258.0	1071.0	-2552.0	-3047.0	-2402.0	2695.0	506.0	-121.0	-1681.0	1227.0	3738.0	1489.0	3961.0	1145.0	2497.0	-1319.0	0
747.0	59.0	-2682.0	2448.0	-1195.0	888.0	-383.0	-1535.0	-639.0	-3293.0	1247.0	-3302.0	-281.0	1689.0	414.0	-884.0	2078.0	1368.0	449.0	2014.0	0
-552.0	4628.0	-3037.0	2506.0	-24.0	722.0	-1148.0	-218.0	-192.0	618.0	842.0	1747.0	616.0	-206.0	1191.0	239.0	59.0	-4124.0	-2396.0	-96.0	0
-1503.0	-151.0	-995.0	611.0	-108.0	1.0	314.0	1841.0	796.0	1623.0	-686.0	1673.0	-332.0	2293.0	2255.0	132.0	275.0	31.0	-907.0	1251.0	1
-1058.0	1494.0	-739.0	1244.0	-291.0	346.0	-825.0	656.0	2902.0	2322.0	-432.0	-296.0	673.0	481.0	-748.0	-148.0	806.0	679.0	3561.0	1103.0	1
1333.0	183.0	883.0	-1837.0	423.0	-29.0	366.0	1246.0	1373.0	881.0	-8.0	1697.0	-227.0	2506.0	576.0	664.0	-812.0	-998.0	718.0	21.0	1
-833.0	1462.0	211.0	2147.0	155.0	364.0	2224.0	1709.0	3048.0	-2469.0	1035.0	-97.0	-252.0	-258.0	28.0	1089.0	-814.0	154.0	1288.0	-374.0	0
-2158.0	854.0	3823.0	-1506.0	-1497.0	-1432.0	-1768.0	-1784.0	2209.0	795.0	1573.0	2967.0	-286.0	-1593.0	-1334.0	2153.0	1838.0	-2576.0	-1016.0	-1115.0	0
54.0	16.0	1771.0	51.0	136.0	196.0	961.0	64.0	412.0	-35.0	115.0	-457.0	1567.0	728.0	768.0	-96.0	-1258.0	945.0	153.0	963.0	1
1667.0	-833.0	-2664.0	571.0	1571.0	344.0	794.0	36.0	381.0	1536.0	-126.0	747.0	55.0	149.0	1494.0	1095.0	-58.0	-1314.0	522.0	-96.0	1
-179.0	-1441.0	1915.0	1579.0	2042.0	-728.0	1632.0	275.0	209.0	211.0	1144.0	1236.0	-1295.0	2962.0	2515.0	1756.0	1248.0	-343.0	1861.0	86.0	1
44.0	-25.0	538.0	47.0	-1415.0	208.0	-1243.0	652.0	93.0	786.0	-105.0	1421.0	-278.0	1222.0	175.0	18.0	-48.0	595.0	-801.0	-115.0	1
1605.0	-157.0	75.0	1598.0	1198.0	-595.0	858.0	-72.0	-1553.0	-261.0	1717.0	-389.0	1559.0	67.0	1356.0	933.0	733.0	106.0	818.0	4.0	1
9.0	-42.0	665.0	2124.0	-2372.0	202.0	822.0	-1462.0	692.0	-1692.0	441.0	771.0	499.0	494.0	-1521.0	-2694.0	3153.0	2208.0	1201.0	564.0	0
2426.0	1127.0	452.0	-758.0	-216.0	81.0	2129.0	544.0	2487.0	-971.0	1591.0	-45.0	463.0	-788.0	1082.0	-889.0	-68.0	319.0	845.0	99.0	1
-2323.0	-2483.0	3073.0	-3387.0	-3786.0	3677.0	-3593.0	-4427.0	-908.0	-9.0	-1079.0	-1843.0	1324.0	1879.0	-348.0	-916.0	-743.0	-11.0	-1231.0	-1885.0	0
-2544.0	-6006.0	-973.0	619.0	-1478.0	2964.0	55.0	895.0	-1106.0	-1223.0	-3641.0	-674.0	1561.0	-452.0	-199.0	-541.0	1016.0	-105.0	-1538.0	931.0	0
585.0	-3.0	207.0	1749.0	791.0	1504.0	147.0	732.0	-2265.0	-53.0	98.0	-848.0	1097.0	-26.0	1042.0	-683.0	701.0	-454.0	1598.0	946.0	1
-826.0	-1342.0	48.0	-3042.0	1732.0	604.0	-397.0	-138.0	-1372.0	329.0	-3635.0	1057.0	-215.0	-505.0	4745.0	128.0	2863.0	3987.0	-536.0	-993.0	0
44.0	1674.0	-876.0	974.0	865.0	135.0	-175.0	-358.0	-94.0	1853.0	-428.0	-906.0	-392.0	1685.0	884.0	363.0	1366.0	-676.0	-15.0	1507.0	1
-1888.0	-983.0	-478.0	116.0	378.0	-14.0	-478.0	-706.0	-1617.0	282.0	213.0	17.0	627.0	2577.0	-697.0	-1081.0	-728.0	2165.0	-834.0	214.0	1
692.0	216.0	277.0	514.0	1186.0	781.0	-1047.0	-939.0	67.0	-1555.0	-864.0	-1005.0	-1193.0	1839.0	1164.0	-1378.0	1422.0	138.0	636.0	951.0	1
-584.0	925.0	33.0	-405.0	522.0	-1236.0	484.0	-278.0	343.0	72.0	441.0	-2654.0	1832.0	3242.0	1437.0	8.0	-522.0	324.0	1665.0	945.0	1
457.0	-66.0	411.0	-522.0	11.0	2544.0	261.0	1519.0	999.0	1393.0	-1014.0	128.0	581.0	1264.0	1184.0	986.0	641.0	-1303.0	1656.0	2324.0	1
1398.0	68.0	-368.0	571.0	-1411.0	-19.0	1262.0	-3436.0	28.0	2435.0	909.0	144.0	2094.0	152.0	1028.0	648.0	-137.0	147.0	613.0	-348.0	1
1995.0	-954.0	-979.0	-1066.0	-174.0	-2454.0	-31.0	-36.0	3111.0	1555.0	909.0	-82.0	-2784.0	-1303.0	117.0	398.0	1022.0	-1001.0	-3502.0	166.0	0
1222.0	-212.0	-2104.0	1954.0	346.0	-266.0	-2575.0	-878.0	1384.0	-1309.0	-752.0	1591.0	-1776.0	608.0	2329.0	3814.0	-2843.0	2163.0	136.0	1419.0	0
-631.0	-3703.0	-1451.0	-3862.0	-1992.0	124.0	-183.0	-2146.0	-428.0	-3797.0	665.0	268.0	-1942.0	-1633.0	1386.0	4.0	935.0	-1218.0	4101.0	-667.0	0
-77.0	1435.0	-1635.0	709.0	-1179.0	-17.0	351.0	132.0	1216.0	463.0	608.0	931.0	5.0	599.0	313.0	-1229.0	-229.0	12.0	-467.0	371.0	1
-587.0	2316.0	-285.0	-994.0	-1052.0	-1249.0	1032.0	-1661.0	22.0	132.0	-736.0	723.0	-1967.0	561.0	-1336.0	-2623.0	-296.0	274.0	-3039.0	1695.0	0
3078.0	328.0	-1782.0	-1425.0	-698.0	-828.0	-1724.0	-644.0	-3044.0	1196.0	1395.0	2392.0	1001.0	2518.0	-102.0	134.0	-1243.0	1418.0	2257.0	1905.0	0
1133.0	5104.0	-2976.0	-1265.0	887.0	-74.0	559.0	399.0	44.0	2126.0	-829.0	1796.0	2892.0	1232.0	-1358.0	-2046.0	-4468.0	907.0	1152.0	976.0	0
2787.0	-3218.0	-243.0	3112.0	2844.0	-3411.0	2408.0	1281.0	-9.0	-379.0	-1245.0	-2453.0	-1177.0	32.0	-499.0	-3856.0	3958.0	746.0	-649.0	935.0	0
4.0	14.0	-1169.0	-18.0	-36.0	429.0	-59.0	-3423.0	88.0	587.0	-44.0	-18.0	752.0	254.0	-108.0	-31.0	-264.0	4546.0	-503.0	2485.0	0
108.0	-3234.0	1868.0	-1689.0	-4033.0	-231.0	2924.0	3606.0	1259.0	-2374.0	216.0	2246.0	-572.0	-2175.0	4215.0	141.0	888.0	2063.0	1567.0	-1862.0	0
1132.0	344.0	558.0	-107.0	168.0	235.0	1935.0	-1003.0	336.0	369.0	274.0	-12.0	224.0	-249.0	-51.0	-49.0	1242.0	-671.0	648.0	-65.0	1
559.0	954.0	2184.0	108.0	-245.0	1197.0	-1519.0	-517.0	1018.0	479.0	1453.0	853.0	339.0	76.0	191.0	-1157.0	2598.0	1447.0	1969.0	-27.0	1
694.0	164.0	589.0	1435.0	-172.0	1297.0	-868.0	-27.0	-412.0	1856.0	-148.0	-821.0	-572.0	-2203.0	-178.0	431.0	851.0	-1091.0	1112.0	103.0	1
-1171.0	-233.0	-3156.0	-614.0	-46.0	105.0	882.0	1384.0	-2264.0	-2675.0	-1195.0	268.0	656.0	2906.0	1167.0	216.0	-1282.0	1378.0	2773.0	912.0	0
-356.0	-244.0	172.0	5.0	841.0	1122.0	1519.0	-253.0	892.0	275.0	782.0	928.0	-316.0	77.0	1746.0	14.0	492.0	-456.0	192.0	1133.0	1
-597.0	-942.0	-713.0	804.0	1175.0	-784.0	-359.0	922.0	-1176.0	-477.0	277.0	2736.0	656.0	-1034.0	501.0	1212.0	-1355.0	1601.0	599.0	73.0	1
-695.0	-254.0	3166.0	152.0	-205.0	-1182.0	347.0	1631.0	2887.0	3548.0	-543.0	334.0	-438.0	388.0	-492.0	357.0	1232.0	-2573.0	-3383.0	-383.0	0
-1118.0	437.0	1628.0	916.0	-268.0	-285.0	468.0	98.0	-596.0	-504.0	1888.0	-542.0	636.0	692.0	-1036.0	869.0	-125.0	-689.0	-623.0	51.0	1
-2142.0	-29.0	582.0	62.0	-608.0	-2136.0	541.0	-498.0	646.0	1036.0	-281.0	1723.0	2235.0	38.0	-1929.0	-1186.0	164.0	3076.0	-1525.0	578.0	0
711.0	2993.0	-1685.0	-279.0	-1619.0	1692.0	-1955.0	-81.0	-2745.0	-3139.0	2321.0	-74.0	-4303.0	3263.0	1195.0	-2682.0	-2403.0	83.0	3691.0	-2283.0	0
1746.0	1305.0	691.0	2254.0	2958.0	-219.0	11.0	802.0	247.0	63.0	356.0	1105.0	-534.0	608.0	189.0	39.0	1521.0	942.0	1111.0	2319.0	1
1185.0	-2364.0	-937.0	-1229.0	3316.0	674.0	-994.0	33.0	2123.0	1346.0	-201.0	-1312.0	2085.0	-3186.0	858.0	-203.0	1583.0	2366.0	-993.0	969.0	0
2345.0	348.0	29.0	534.0	1.0	11.0	2479.0	372.0	72.0	-35.0	-213.0	2139.0	348.0	105.0	395.0	1098.0	-421.0	497.0	-19.0	-518.0	1
-629.0	1305.0	1945.0	778.0	2263.0	-809.0	1331.0	924.0	661.0	-244.0	131.0	154.0	627.0	123.0	-1073.0	-821.0	251.0	-43.0	968.0	585.0	1
403.0	3661.0	118.0	2465.0	-457.0	1806.0	684.0	11.0	1893.0	907.0	1451.0	-42.0	2218.0	698.0	-182.0	1724.0	211.0	-572.0	-127.0	509.0	1
635.0	1768.0	894.0	497.0	223.0	1067.0	-619.0	4.0	652.0	-521.0	1297.0	1062.0	-418.0	-1335.0	1142.0	644.0	2481.0	125.0	-496.0	1981.0	1
793.0	2351.0	-94.0	1079.0	43.0	2875.0	329.0	426.0	1882.0	-203.0	-22.0	1117.0	548.0	564.0	1146.0	258.0	-284.0	316.0	-1047.0	1613.0	1
794.0	176.0	-7.0	153.0	-966.0	1767.0	429.0	-634.0	586.0	1398.0	839.0	1221.0	103.0	214.0	452.0	1089.0	-1982.0	-129.0	-26.0	743.0	1
64.0	-143.0	107.0	3851.0	-1005.0	1383.0	528.0	666.0	26.0	-136.0	1871.0	813.0	-998.0	1123.0	148.0	-1.0	-1433.0	-17.0	984.0	-442.0	0
52.0	506.0	5137.0	998.0	539.0	-2894.0	2347.0	1056.0	617.0	-981.0	-424.0	-623.0	153.0	2961.0	-1083.0	-1605.0	-3465.0	-1233.0	-231.0	-1816.0	0
1195.0	-823.0	448.0	-2031.0	-147.0	947.0	608.0	282.0	-636.0	-73.0	-1408.0	-147.0	18.0	-43.0	756.0	326.0	543.0	818.0	-1435.0	203.0	1
1274.0	1776.0	-1859.0	-279.0	971.0	1537.0	2196.0	424.0	787.0	2242.0	1677.0	2261.0	1127.0	-1728.0	-562.0	839.0	2071.0	498.0	231.0	1777.0	1
1392.0	1066.0	1567.0	2092.0	1129.0	1494.0	67.0	275.0	13.0	1059.0	603.0	1032.0	2234.0	536.0	281.0	-1003.0	1621.0	1372.0	2353.0	2559.0	1
-1508.0	3214.0	-142.0	882.0	1349.0	1039.0	-2.0	101.0	731.0	419.0	-1042.0	2459.0	833.0	746.0	463.0	956.0	1408.0	276.0	-19.0	6.0	1
955.0	924.0	-191.0	2078.0	866.0	132.0	-126.0	287.0	-537.0	1102.0	1838.0	2282.0	-37.0	1962.0	766.0	-323.0	682.0	27.0	2366.0	2257.0	1
-3694.0	1538.0	-4887.0	-1025.0	-1733.0	-4824.0	-3207.0	486.0	-131.0	-258.0	-2538.0	-742.0	1767.0	-201.0	2137.0	2261.0	391.0	-1116.0	-98.0	3052.0	0
1587.0	-409.0	-2343.0	-1377.0	-649.0	-2787.0	2384.0	116.0	-2418.0	-884.0	391.0	-1243.0	-703.0	57.0	-1832.0	-1472.0	-2527.0	-3421.0	-1172.0	-3435.0	0
44.0	-869.0	172.0	-166.0	695.0	-176.0	1778.0	-19.0	544.0	1517.0	119.0	1822.0	1042.0	-282.0	147.0	1595.0	-385.0	1163.0	153.0	52.0	1
206.0	-3238.0	-2614.0	-274.0	346.0	2059.0	-2822.0	1696.0	-2702.0	-1386.0	-913.0	1219.0	-65.0	-2387.0	727.0	372.0	-1118.0	1.0	-2709.0	-2987.0	0
-71.0	373.0	1603.0	1505.0	83.0	505.0	1362.0	-624.0	31.0	-872.0	64.0	799.0	1837.0	1299.0	1822.0	-166.0	-1983.0	928.0	658.0	989.0	1
-3211.0	-181.0	-41.0	-1654.0	-563.0	-3053.0	36.0	2626.0	-471.0	67.0	588.0	56.0	59.0	-1338.0	1286.0	3502.0	754.0	-1033.0	-205.0	-1158.0	0
-192.0	714.0	1448.0	-96.0	-1684.0	2576.0	878.0	878.0	174.0	949.0	56.0	-754.0	-208.0	-204.0	1262.0	-501.0	589.0	1551.0	-344.0	-28.0	1
335.0	-2282.0	795.0	-4517.0	145.0	139.0	189.0	2233.0	-106.0	1843.0	4217.0	1649.0	-655.0	-1661.0	715.0	584.0	109.0	1126.0	-1131.0	-643.0	0
