Status	Duration	Credit-history	Purpose	Credit	Savings-account	Employment	Installment-rate	Personal-status	Debtors	Residence-time	Property	Age	Installments	Housing	Existing-credits	Job	Liable-people	Telephone	Foreign	class
0	12.0	4	4	3651.0	3	0	1.0	3	2	3.0	0	31.0	1	1	1.0	1	2.0	1	1	1
3	24.0	4	3	3749.0	1	1	2.0	0	2	4.0	1	26.0	1	1	1.0	1	1.0	1	1	1
1	12.0	2	3	3617.0	1	2	1.0	3	2	4.0	1	28.0	1	2	3.0	1	1.0	0	1	1
2	21.0	4	4	2782.0	0	3	1.0	0	2	2.0	1	31.0	0	1	1.0	0	1.0	1	1	1
2	6.0	4	6	518.0	1	0	3.0	0	2	1.0	3	29.0	1	1	1.0	1	1.0	1	1	1
1	6.0	3	3	1050.0	1	4	4.0	3	2	1.0	0	35.0	2	1	2.0	0	1.0	0	1	1
2	24.0	2	7	5507.0	1	2	3.0	3	2	4.0	2	44.0	1	0	2.0	1	1.0	1	1	1
0	30.0	2	9	6187.0	2	3	1.0	2	2	4.0	1	24.0	1	2	2.0	1	1.0	1	1	1
1	18.0	4	2	1239.0	4	0	4.0	3	2	4.0	2	61.0	1	0	1.0	1	1.0	1	1	1
2	24.0	4	6	1533.0	1	1	4.0	0	2	3.0	1	38.0	2	1	1.0	1	1.0	0	1	1
2	24.0	3	3	4151.0	2	0	2.0	3	2	3.0	0	35.0	1	1	2.0	1	1.0	1	1	1
0	10.0	2	3	2132.0	4	1	2.0	0	0	3.0	3	27.0	1	2	2.0	1	1.0	1	0	1
0	36.0	4	4	3249.0	1	3	2.0	3	2	4.0	2	39.0	0	0	1.0	0	2.0	0	1	1
2	18.0	2	6	2404.0	1	0	2.0	0	2	2.0	1	26.0	1	1	2.0	1	1.0	1	1	1
0	12.0	2	9	1409.0	1	2	4.0	3	2	3.0	3	54.0	1	1	1.0	1	1.0	1	1	1
3	15.0	2	9	2360.0	0	0	2.0	3	2	2.0	1	36.0	1	1	1.0	1	1.0	0	1	1
2	24.0	2	6	2611.0	1	2	4.0	2	0	3.0	3	46.0	1	1	2.0	1	1.0	1	1	1
1	36.0	4	6	4795.0	1	1	4.0	0	2	1.0	2	30.0	1	1	1.0	0	1.0	0	1	1
0	10.0	2	4	1038.0	1	3	4.0	3	0	3.0	0	49.0	1	1	2.0	1	1.0	0	1	1
2	24.0	2	4	1287.0	3	2	4.0	0	2	4.0	3	37.0	1	1	2.0	1	1.0	0	1	1
2	12.0	2	6	522.0	0	2	4.0	3	2	4.0	0	42.0	1	1	2.0	1	2.0	0	1	1
2	24.0	2	3	5150.0	1	2	4.0	3	2	4.0	1	33.0	1	1	1.0	1	1.0	0	1	1
0	12.0	2	9	1526.0	1	2	4.0	3	2	4.0	2	66.0	1	0	2.0	0	1.0	1	1	1
2	6.0	3	6	932.0	1	0	3.0	0	2	2.0	3	24.0	1	1	1.0	1	1.0	1	1	1
2	12.0	4	6	1493.0	1	1	4.0	0	2	3.0	1	34.0	1	1	1.0	1	2.0	1	1	1
0	13.0	2	0	1797.0	1	1	3.0	3	2	1.0	0	28.0	0	1	2.0	3	1.0	1	1	1
2	10.0	4	9	2848.0	2	0	1.0	3	0	2.0	3	32.0	1	1	1.0	1	2.0	1	1	1
2	24.0	3	4	2032.0	1	2	4.0	3	2	4.0	2	60.0	1	0	2.0	1	1.0	0	1	1
2	24.0	4	4	1249.0	1	1	4.0	2	2	2.0	3	28.0	1	1	1.0	1	1.0	1	1	1
0	6.0	2	4	860.0	1	2	1.0	0	2	4.0	2	39.0	1	1	2.0	1	1.0	0	1	1
2	36.0	2	9	5842.0	1	2	2.0	3	2	2.0	0	35.0	1	1	2.0	1	2.0	0	1	1
3	12.0	4	6	1297.0	1	0	3.0	2	2	4.0	3	23.0	1	2	1.0	1	1.0	1	1	1
1	24.0	4	6	1967.0	1	2	4.0	0	2	4.0	1	20.0	1	1	1.0	1	1.0	0	1	1
0	12.0	4	3	1620.0	1	0	2.0	0	0	3.0	0	30.0	1	1	1.0	1	1.0	1	1	1
0	18.0	3	2	8471.0	4	0	1.0	0	2	2.0	1	23.0	1	2	2.0	1	1.0	0	1	1
0	6.0	4	3	1374.0	1	0	1.0	3	2	2.0	3	36.0	0	1	1.0	3	1.0	0	1	1
2	12.0	2	2	2748.0	1	2	2.0	0	2	4.0	2	57.0	0	0	3.0	3	1.0	1	1	1
2	12.0	2	3	5801.0	4	2	2.0	3	2	4.0	0	49.0	1	2	1.0	1	1.0	0	1	1
2	12.0	2	6	2331.0	4	2	1.0	3	0	4.0	3	49.0	1	1	1.0	1	1.0	0	1	1
1	12.0	2	4	1995.0	2	1	4.0	3	2	1.0	1	27.0	1	1	1.0	1	1.0	1	1	1
3	36.0	4	6	3913.0	1	0	2.0	3	2	2.0	3	23.0	1	1	1.0	1	1.0	0	1	1
0	12.0	2	4	2171.0	1	0	4.0	3	2	4.0	0	38.0	0	1	2.0	3	1.0	1	0	1
1	60.0	3	6	9157.0	4	0	2.0	3	2	2.0	2	27.0	1	0	1.0	0	1.0	1	1	1
2	6.0	4	6	2108.0	1	3	2.0	2	2	2.0	3	29.0	1	2	1.0	1	1.0	1	1	1
3	36.0	4	6	5848.0	1	0	4.0	3	2	1.0	1	24.0	1	1	1.0	1	1.0	1	1	1
0	12.0	4	6	1680.0	0	2	3.0	2	2	1.0	3	35.0	1	1	1.0	1	1.0	1	1	1
0	24.0	1	3	2828.0	0	0	4.0	3	2	4.0	3	22.0	2	1	1.0	1	1.0	0	1	1
1	12.0	4	7	639.0	1	0	4.0	3	2	2.0	1	30.0	1	1	1.0	1	1.0	1	1	0
1	24.0	4	9	11560.0	1	0	1.0	0	2	4.0	1	23.0	1	2	2.0	0	1.0	1	1	0
0	9.0	4	6	1366.0	1	1	3.0	0	2	4.0	0	22.0	1	2	1.0	1	1.0	1	1	0
0	48.0	4	9	10297.0	1	3	4.0	3	2	4.0	2	39.0	2	0	3.0	1	2.0	0	1	0
0	24.0	4	3	3345.0	1	2	4.0	3	2	2.0	0	39.0	1	2	1.0	0	1.0	0	1	0
0	27.0	0	0	5293.0	1	4	2.0	3	2	4.0	0	50.0	2	1	2.0	1	1.0	0	1	0
3	36.0	4	6	4210.0	1	0	4.0	3	2	2.0	1	26.0	1	1	1.0	1	1.0	1	1	0
0	18.0	4	2	750.0	1	4	4.0	0	2	1.0	3	27.0	1	1	1.0	2	1.0	1	1	0
1	72.0	4	6	5595.0	2	0	2.0	2	2	2.0	1	24.0	1	1	1.0	1	1.0	1	1	0
1	12.0	4	6	6468.0	4	4	2.0	3	2	1.0	2	52.0	1	1	1.0	0	1.0	0	1	0
1	24.0	4	9	12579.0	1	2	4.0	0	2	2.0	2	44.0	1	0	1.0	0	1.0	0	1	0
0	15.0	4	1	1275.0	4	0	4.0	0	2	2.0	1	24.0	1	2	1.0	1	1.0	1	1	0
2	21.0	0	4	5003.0	4	0	1.0	0	2	4.0	0	29.0	0	1	2.0	1	1.0	0	1	0
2	12.0	4	2	719.0	1	2	4.0	3	2	4.0	1	41.0	0	1	1.0	3	2.0	1	1	0
3	24.0	4	4	947.0	1	3	4.0	3	2	3.0	2	38.0	0	0	1.0	1	2.0	1	1	0
3	12.0	2	4	939.0	0	3	4.0	2	2	2.0	3	28.0	1	1	3.0	1	1.0	0	1	0
0	12.0	4	4	900.0	4	0	4.0	2	2	2.0	1	23.0	1	1	1.0	1	1.0	1	1	0
0	24.0	1	3	3552.0	1	3	3.0	3	2	4.0	1	27.0	0	1	1.0	1	1.0	1	1	0
3	9.0	4	6	745.0	1	0	3.0	0	2	2.0	3	28.0	1	1	1.0	3	1.0	1	1	0
1	15.0	0	4	1778.0	1	1	2.0	0	2	1.0	3	26.0	1	2	2.0	2	1.0	1	1	0
2	36.0	4	3	10974.0	1	4	4.0	0	2	2.0	1	26.0	1	1	2.0	0	1.0	0	1	0
0	12.0	4	2	795.0	1	1	4.0	0	2	4.0	0	53.0	1	1	1.0	1	1.0	1	1	0
2	21.0	3	0	2580.0	0	1	4.0	3	2	2.0	3	41.0	0	1	1.0	3	2.0	1	1	0
1	60.0	1	5	14782.0	2	2	3.0	0	2	4.0	2	60.0	0	0	2.0	0	1.0	0	1	0
1	8.0	4	3	1237.0	1	0	3.0	0	2	4.0	3	24.0	1	1	1.0	1	1.0	1	1	0
1	36.0	4	9	9398.0	1	1	1.0	2	2	4.0	1	28.0	1	2	1.0	0	1.0	0	1	0
0	24.0	1	4	1193.0	1	4	1.0	0	0	4.0	2	29.0	1	2	2.0	2	1.0	1	1	0
1	12.0	4	4	888.0	1	2	4.0	3	2	4.0	1	41.0	0	1	1.0	3	2.0	1	1	0
1	24.0	4	4	1355.0	1	1	3.0	0	2	4.0	1	25.0	1	1	1.0	3	1.0	0	1	0
1	18.0	0	4	2278.0	2	1	3.0	0	2	3.0	1	28.0	1	1	2.0	1	1.0	1	1	0
1	12.0	4	4	1007.0	3	0	4.0	2	2	1.0	3	22.0	1	1	1.0	1	1.0	1	1	1
2	9.0	4	3	2301.0	2	1	2.0	0	2	4.0	0	22.0	1	2	1.0	1	1.0	1	1	1
0	12.0	4	3	1858.0	1	1	4.0	0	2	1.0	1	22.0	1	2	1.0	1	1.0	1	1	1
2	60.0	4	4	6527.0	4	0	4.0	3	2	4.0	2	34.0	1	0	1.0	1	2.0	0	1	1
2	24.0	2	6	1516.0	3	0	4.0	0	2	1.0	3	43.0	1	1	2.0	3	1.0	1	1	1
2	24.0	4	9	2679.0	1	1	4.0	0	2	1.0	2	29.0	1	1	1.0	0	1.0	0	1	1
0	6.0	4	6	2647.0	0	0	2.0	3	2	3.0	3	44.0	1	2	1.0	1	2.0	1	1	1
1	24.0	4	4	3512.0	2	3	2.0	3	2	3.0	1	38.0	0	1	2.0	1	1.0	0	1	1
2	21.0	3	3	1591.0	2	3	4.0	3	2	3.0	3	34.0	1	1	2.0	0	1.0	1	1	1
1	21.0	2	3	2745.0	3	3	3.0	3	2	2.0	1	32.0	1	1	2.0	1	1.0	0	1	1
2	24.0	2	2	1597.0	1	2	4.0	3	2	4.0	2	54.0	1	0	2.0	1	2.0	1	1	1
2	24.0	4	4	1474.0	2	1	4.0	2	2	3.0	3	33.0	1	1	1.0	1	1.0	0	1	1
2	24.0	4	6	3105.0	4	1	4.0	3	2	2.0	1	25.0	1	1	2.0	1	1.0	1	1	1
0	20.0	4	3	2212.0	4	3	4.0	3	2	4.0	1	39.0	1	1	1.0	1	1.0	0	1	1
0	30.0	0	0	8072.0	4	1	2.0	3	2	3.0	1	25.0	0	1	3.0	1	1.0	1	1	1
0	24.0	4	9	6579.0	1	4	4.0	3	2	2.0	2	29.0	1	0	1.0	0	1.0	0	1	1
2	24.0	4	6	1552.0	1	3	3.0	3	2	1.0	1	32.0	0	1	1.0	1	2.0	1	1	1
1	6.0	3	0	1449.0	2	2	1.0	1	2	2.0	1	31.0	0	1	2.0	1	2.0	1	1	1
2	12.0	2	3	1402.0	0	3	3.0	0	2	4.0	1	37.0	1	2	1.0	1	1.0	0	1	1
0	30.0	4	3	3622.0	3	2	4.0	0	2	4.0	0	57.0	1	2	2.0	1	1.0	0	1	1
2	11.0	2	6	1154.0	2	4	4.0	0	2	4.0	3	57.0	1	1	3.0	3	1.0	1	1	1
1	12.0	2	9	1860.0	1	4	4.0	3	2	2.0	1	34.0	1	1	2.0	0	1.0	0	1	1
0	6.0	4	4	1374.0	4	4	4.0	0	2	3.0	0	75.0	1	1	1.0	0	1.0	0	1	1
2	20.0	2	4	3485.0	4	1	2.0	1	2	4.0	3	44.0	1	1	2.0	1	1.0	0	1	1
2	18.0	2	6	2238.0	1	0	2.0	0	2	1.0	1	25.0	1	1	2.0	1	1.0	1	1	1
2	6.0	1	6	1750.0	0	2	2.0	3	2	4.0	0	45.0	0	1	1.0	3	2.0	1	1	1
1	12.0	4	9	2028.0	4	0	4.0	3	2	2.0	1	30.0	1	1	1.0	1	1.0	1	1	1
3	10.0	4	3	1275.0	1	1	4.0	0	2	2.0	0	23.0	1	1	1.0	1	1.0	1	1	1
2	6.0	2	4	2080.0	0	0	1.0	2	2	2.0	1	24.0	1	1	1.0	1	1.0	1	1	1
2	12.0	2	2	2096.0	1	3	2.0	3	2	3.0	3	49.0	1	1	1.0	3	2.0	1	1	1
0	27.0	2	0	2442.0	1	2	4.0	3	2	4.0	1	43.0	2	1	4.0	0	2.0	0	1	1
2	21.0	2	9	3275.0	1	2	1.0	3	2	4.0	1	36.0	1	1	1.0	0	1.0	0	1	1
1	18.0	4	0	1941.0	3	0	4.0	3	2	2.0	0	35.0	1	1	1.0	3	1.0	0	1	1
2	24.0	4	6	1278.0	1	2	4.0	3	2	1.0	3	36.0	1	1	1.0	0	1.0	0	1	1
2	12.0	4	6	886.0	4	0	4.0	0	2	2.0	1	21.0	1	1	1.0	1	1.0	1	1	1
2	22.0	4	6	2675.0	0	2	3.0	3	2	4.0	1	40.0	1	1	1.0	1	1.0	1	1	1
0	6.0	4	9	1352.0	0	4	1.0	0	2	2.0	0	23.0	1	2	1.0	2	1.0	0	1	1
2	24.0	4	3	2835.0	0	2	3.0	3	2	4.0	0	53.0	1	1	1.0	1	1.0	1	1	1
0	24.0	2	9	6419.0	1	2	2.0	0	2	4.0	2	44.0	1	0	2.0	0	2.0	0	1	1
2	12.0	4	6	3077.0	1	0	2.0	3	2	4.0	1	52.0	1	1	1.0	1	1.0	0	1	1
3	12.0	4	6	3016.0	1	0	3.0	2	2	1.0	1	24.0	1	1	1.0	1	1.0	1	1	1
2	36.0	4	6	2394.0	4	0	4.0	0	2	4.0	1	25.0	1	1	1.0	1	1.0	1	1	1
1	48.0	3	5	7582.0	2	4	2.0	3	2	4.0	2	31.0	1	0	1.0	0	1.0	0	1	1
1	42.0	1	9	9283.0	1	4	1.0	3	2	2.0	2	55.0	0	0	1.0	0	1.0	0	1	1
0	6.0	2	3	1872.0	1	4	4.0	3	2	4.0	2	36.0	1	0	3.0	0	1.0	0	1	1
2	12.0	2	3	3331.0	1	2	2.0	3	2	4.0	0	42.0	2	1	1.0	1	1.0	1	1	1
1	18.0	4	6	1113.0	1	0	4.0	0	1	4.0	3	26.0	1	1	1.0	3	2.0	1	1	1
2	28.0	2	6	2743.0	1	2	4.0	3	2	2.0	1	29.0	1	1	2.0	1	1.0	1	1	1
1	18.0	2	3	1295.0	1	1	4.0	0	2	1.0	0	27.0	1	1	2.0	1	1.0	1	1	1
0	18.0	4	4	2249.0	2	3	4.0	3	2	3.0	1	30.0	1	1	1.0	0	2.0	0	1	1
0	21.0	4	3	3599.0	1	3	1.0	0	2	4.0	1	26.0	1	2	1.0	3	1.0	1	1	1
1	18.0	2	3	6361.0	1	2	2.0	3	2	1.0	2	41.0	1	1	1.0	1	1.0	0	1	1
2	12.0	4	6	2279.0	4	0	4.0	3	2	4.0	2	37.0	1	0	1.0	1	1.0	0	1	1
0	12.0	4	6	1107.0	1	0	2.0	3	2	2.0	3	20.0	1	2	1.0	0	2.0	0	1	1
1	9.0	2	6	1154.0	1	2	2.0	3	2	4.0	3	37.0	1	1	3.0	3	1.0	1	1	1
2	6.0	4	4	672.0	1	4	1.0	0	2	4.0	3	54.0	1	1	1.0	2	1.0	0	1	1
2	6.0	4	7	660.0	0	3	2.0	2	2	4.0	3	23.0	1	2	1.0	3	1.0	1	1	1
2	22.0	4	4	1283.0	4	3	4.0	0	2	4.0	0	25.0	1	2	1.0	1	1.0	1	1	1
2	6.0	4	4	3518.0	1	0	2.0	3	1	3.0	0	26.0	1	2	1.0	1	1.0	1	1	1
2	30.0	2	6	5954.0	1	3	3.0	3	0	2.0	1	38.0	1	1	1.0	1	1.0	1	1	1
1	12.0	4	6	1092.0	1	0	4.0	0	1	4.0	3	49.0	1	1	2.0	1	1.0	0	1	1
3	42.0	0	0	6289.0	1	1	2.0	1	2	1.0	0	33.0	1	1	2.0	1	1.0	1	1	1
2	15.0	4	9	3812.0	2	1	1.0	0	2	4.0	1	23.0	1	1	1.0	1	1.0	0	1	1
2	12.0	4	6	804.0	1	2	4.0	3	2	4.0	1	38.0	1	1	1.0	1	1.0	1	1	1
0	48.0	4	9	4788.0	1	3	4.0	3	2	3.0	0	26.0	1	1	1.0	1	2.0	1	1	1
2	12.0	2	0	1264.0	4	2	4.0	3	2	4.0	2	57.0	1	2	1.0	3	1.0	1	1	1
1	24.0	3	6	1553.0	2	3	3.0	0	2	2.0	0	23.0	1	2	2.0	1	1.0	0	1	1
2	5.0	4	0	3448.0	1	3	1.0	3	2	4.0	3	74.0	1	1	1.0	3	1.0	1	1	1
2	12.0	2	3	1592.0	3	3	3.0	0	2	2.0	0	35.0	1	1	1.0	1	1.0	1	0	1
3	24.0	4	6	1258.0	0	0	3.0	0	2	3.0	1	57.0	1	1	1.0	3	1.0	1	1	1
1	36.0	2	4	2820.0	1	1	4.0	1	2	4.0	1	27.0	1	1	2.0	1	1.0	1	1	0
2	48.0	4	0	3914.0	4	0	4.0	1	2	2.0	3	38.0	0	1	1.0	1	1.0	1	1	0
1	15.0	4	6	802.0	1	2	4.0	3	2	3.0	1	37.0	1	1	1.0	1	2.0	1	1	0
1	12.0	0	3	2969.0	1	1	4.0	0	2	3.0	0	25.0	1	2	2.0	1	1.0	1	1	0
0	18.0	4	6	1882.0	1	0	4.0	0	2	4.0	1	25.0	0	2	2.0	1	1.0	1	1	0
1	60.0	4	4	14027.0	1	3	4.0	3	2	2.0	2	27.0	1	1	1.0	0	1.0	0	1	0
3	9.0	0	6	1337.0	1	1	4.0	3	2	2.0	1	34.0	1	1	2.0	0	1.0	0	1	0
1	24.0	4	6	3092.0	2	1	3.0	2	2	2.0	1	22.0	1	2	1.0	1	1.0	0	1	0
0	60.0	4	0	7297.0	1	2	4.0	3	0	4.0	2	36.0	1	2	1.0	1	1.0	1	1	0
2	24.0	4	6	2397.0	0	2	3.0	3	2	2.0	1	35.0	0	1	2.0	1	1.0	0	1	0
1	54.0	0	0	15945.0	1	1	3.0	3	2	4.0	2	58.0	1	2	1.0	1	1.0	0	1	0
1	36.0	3	0	4455.0	1	0	2.0	1	2	2.0	3	30.0	2	1	2.0	0	1.0	0	1	0
0	6.0	4	2	448.0	1	1	4.0	0	2	4.0	0	23.0	1	1	1.0	1	1.0	1	1	0
0	36.0	4	3	2712.0	1	2	2.0	3	2	2.0	0	41.0	0	1	1.0	1	2.0	1	1	0
0	24.0	0	3	4110.0	1	2	3.0	3	2	4.0	2	23.0	0	2	2.0	1	2.0	1	1	0
0	24.0	4	4	1442.0	1	3	4.0	0	2	4.0	1	23.0	1	2	2.0	1	1.0	1	1	0
0	45.0	0	0	11816.0	1	2	2.0	3	2	4.0	1	29.0	1	2	2.0	1	1.0	1	1	0
0	24.0	4	3	2996.0	4	0	2.0	2	2	4.0	1	20.0	1	1	1.0	1	1.0	1	1	0
1	15.0	4	4	2631.0	2	0	2.0	0	2	4.0	1	28.0	1	2	2.0	1	1.0	0	1	0
0	48.0	4	6	6758.0	1	0	3.0	0	2	2.0	1	31.0	1	1	1.0	1	1.0	0	1	0
0	18.0	4	4	1216.0	1	1	4.0	0	2	3.0	1	23.0	1	2	1.0	1	1.0	0	1	0
1	36.0	0	0	1953.0	1	2	4.0	3	2	4.0	2	61.0	1	0	1.0	0	1.0	0	1	0
0	42.0	3	6	4370.0	1	3	3.0	3	2	2.0	0	26.0	0	1	2.0	1	2.0	0	1	0
1	45.0	2	6	4746.0	1	1	4.0	3	2	2.0	0	25.0	1	1	2.0	3	1.0	1	1	0
2	18.0	2	2	1864.0	2	0	4.0	0	2	2.0	3	30.0	1	1	2.0	1	1.0	1	1	0
1	15.0	1	4	6850.0	2	4	1.0	3	2	2.0	0	34.0	1	1	1.0	0	2.0	0	1	0
0	24.0	4	4	915.0	4	2	4.0	0	2	2.0	1	29.0	0	1	1.0	1	1.0	1	1	0
1	21.0	4	0	1188.0	1	2	2.0	0	2	4.0	0	39.0	1	1	1.0	1	2.0	1	1	0
0	40.0	2	2	5998.0	1	0	4.0	3	2	3.0	2	27.0	0	1	1.0	1	1.0	0	1	0
2	36.0	2	3	7127.0	1	1	2.0	0	2	4.0	0	23.0	1	2	2.0	1	1.0	0	1	0
0	15.0	2	3	1478.0	1	2	4.0	3	2	4.0	1	44.0	1	1	2.0	1	2.0	0	1	1
2	18.0	4	3	2515.0	1	0	3.0	3	2	4.0	3	43.0	1	1	1.0	1	1.0	0	1	1
1	20.0	3	9	7057.0	4	3	3.0	3	2	4.0	0	36.0	0	2	2.0	0	2.0	0	1	1
1	12.0	4	0	1037.0	2	3	3.0	3	2	4.0	3	39.0	1	1	1.0	3	1.0	1	1	1
2	36.0	3	3	7678.0	0	3	2.0	0	2	4.0	1	40.0	1	1	2.0	1	1.0	0	1	1
2	18.0	2	4	1055.0	1	1	4.0	0	2	1.0	0	30.0	1	1	2.0	1	1.0	1	1	1
1	9.0	4	6	458.0	1	0	4.0	3	2	3.0	3	24.0	1	1	1.0	1	1.0	1	1	1
1	8.0	4	6	760.0	1	3	4.0	0	1	2.0	3	44.0	1	1	1.0	3	1.0	1	1	1
2	12.0	4	6	2171.0	1	1	2.0	0	2	2.0	1	29.0	0	1	1.0	1	1.0	1	1	1
2	15.0	4	4	3556.0	4	0	3.0	3	2	2.0	2	29.0	1	1	1.0	1	1.0	1	1	1
1	12.0	4	6	1567.0	1	0	1.0	0	2	1.0	1	22.0	1	1	1.0	1	1.0	0	1	1
2	6.0	2	3	1221.0	4	0	1.0	2	2	2.0	0	27.0	1	1	2.0	1	1.0	1	1	1
2	12.0	2	7	996.0	4	3	4.0	0	2	4.0	3	23.0	1	1	2.0	1	1.0	1	1	1
2	24.0	4	6	1311.0	2	3	4.0	2	2	3.0	0	26.0	1	1	1.0	1	1.0	0	1	1
2	6.0	2	4	362.0	2	0	4.0	0	2	4.0	1	52.0	1	1	2.0	3	1.0	1	1	1
0	6.0	2	6	1957.0	1	3	1.0	0	2	4.0	1	31.0	1	1	1.0	1	1.0	1	1	1
0	21.0	2	4	571.0	1	2	4.0	3	2	4.0	3	65.0	1	1	2.0	1	1.0	1	1	1
2	12.0	4	6	1262.0	1	0	3.0	3	2	2.0	1	25.0	1	1	1.0	1	1.0	1	1	1
2	10.0	4	8	894.0	4	3	4.0	0	2	3.0	0	40.0	1	1	1.0	1	1.0	0	1	1
2	12.0	4	6	2073.0	2	0	4.0	0	0	2.0	3	28.0	1	1	1.0	1	1.0	1	1	1
2	42.0	2	3	4042.0	0	0	4.0	3	2	4.0	3	36.0	1	1	2.0	1	1.0	0	1	1
0	15.0	4	4	1721.0	1	1	2.0	3	2	3.0	3	36.0	1	1	1.0	1	1.0	1	1	1
1	18.0	2	3	3612.0	1	2	3.0	0	2	4.0	0	37.0	1	1	1.0	1	1.0	0	1	1
2	36.0	4	0	5742.0	2	3	2.0	3	2	2.0	1	31.0	1	1	2.0	1	1.0	0	1	1
2	36.0	4	4	909.0	0	2	4.0	3	2	4.0	0	36.0	1	1	1.0	1	1.0	1	1	1
2	15.0	4	3	2708.0	1	1	2.0	3	2	3.0	0	27.0	0	1	2.0	3	1.0	1	1	1
2	11.0	4	0	2142.0	3	2	1.0	1	2	2.0	3	28.0	1	1	1.0	1	1.0	0	1	1
2	10.0	4	4	1418.0	2	0	3.0	3	2	2.0	3	35.0	1	2	1.0	3	1.0	1	0	1
3	18.0	4	3	3049.0	1	1	1.0	0	2	1.0	0	45.0	2	1	1.0	3	1.0	1	1	1
1	45.0	2	9	4576.0	2	4	3.0	3	2	4.0	1	27.0	1	1	1.0	1	1.0	1	1	1
0	6.0	2	4	3676.0	1	0	1.0	3	2	3.0	3	37.0	1	2	3.0	1	2.0	1	1	1
1	9.0	2	3	1919.0	1	3	4.0	3	2	3.0	1	35.0	1	2	1.0	1	1.0	0	1	1
0	12.0	2	4	2121.0	1	0	4.0	3	2	2.0	0	30.0	1	1	2.0	1	1.0	1	1	1
1	12.0	4	4	2002.0	1	3	3.0	3	2	4.0	0	30.0	1	2	1.0	1	2.0	0	1	1
2	6.0	4	6	1346.0	2	2	2.0	3	2	4.0	2	42.0	0	0	1.0	1	2.0	0	1	1
1	48.0	3	0	6681.0	4	0	4.0	3	2	4.0	2	38.0	1	0	1.0	1	2.0	0	1	1
2	33.0	2	9	7253.0	1	3	3.0	3	2	2.0	1	35.0	1	1	2.0	0	1.0	0	1	1
3	6.0	2	4	1299.0	1	0	1.0	3	2	1.0	3	74.0	1	1	3.0	2	2.0	1	0	1
1	12.0	2	1	1424.0	1	3	4.0	3	2	3.0	0	26.0	1	1	1.0	1	1.0	1	1	1
0	24.0	1	9	3632.0	1	0	1.0	0	1	4.0	1	22.0	0	2	1.0	1	1.0	1	0	1
0	24.0	1	3	2483.0	0	0	4.0	3	2	4.0	3	22.0	2	1	1.0	1	1.0	0	1	1
1	11.0	4	3	1577.0	3	1	4.0	0	2	1.0	3	20.0	1	1	1.0	1	1.0	1	1	1
