A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	class
2	242	0.5	3	3	10	8	0.5	0	0	0.0	1	0	12	0.0	1
2	190	1.335	2	1	7	1	0.125	0	0	0.0	1	0	122	4500.0	1
2	36	6.5	2	1	13	4	1.46	1	1	7.0	0	0	159	2954.0	0
1	343	6.0	2	1	6	3	0.0	0	0	0.0	0	2	0	0.0	1
1	48	3.0	2	1	11	8	0.165	1	1	3.0	0	0	1	6.0	0
2	101	0.335	2	1	9	4	3.5	0	0	0.0	1	0	90	0.0	1
2	135	1.165	2	1	9	8	0.5	1	0	0.0	0	2	74	0.0	1
2	91	0.54	2	1	10	8	1.0	0	0	0.0	1	0	8	1.0	1
2	9	2.75	2	1	1	8	0.665	0	1	1.0	0	0	159	21.0	1
1	62	11.665	2	1	9	4	0.085	0	0	0.0	0	0	86	5.0	1
1	271	4.0	2	1	8	5	0.0	1	0	0.0	0	0	1	960.0	0
2	329	2.75	2	1	13	8	1.75	1	1	5.0	1	0	147	58.0	0
2	248	1.75	2	1	9	8	0.21	1	0	0.0	0	0	23	0.0	1
2	168	4.0	3	3	3	8	1.5	0	0	0.0	1	0	8	0.0	1
2	283	7.625	2	1	13	4	15.5	1	1	12.0	0	0	0	790.0	0
1	46	10.5	3	3	14	4	0.0	0	0	0.0	1	0	21	32.0	1
2	82	1.79	2	1	2	8	0.54	0	0	0.0	1	0	14	1.0	1
2	41	7.0	2	1	2	8	0.5	0	0	0.0	0	0	0	0.0	1
2	230	9.5	2	1	10	8	6.5	1	1	14.0	0	0	61	4607.0	0
1	295	0.835	2	1	1	8	0.5	0	0	0.0	1	0	61	117.0	1
2	187	6.5	2	1	1	8	0.125	1	0	0.0	1	0	123	0.0	1
2	158	3.085	2	1	2	8	2.5	0	1	2.0	1	0	23	41.0	1
2	35	9.5	2	1	11	8	1.0	1	0	0.0	1	0	147	400.0	0
1	226	1.665	2	1	1	8	0.25	0	0	0.0	0	0	0	390.0	1
2	285	12.0	2	1	10	8	16.0	1	0	0.0	0	2	4	0.0	0
1	37	0.165	2	1	11	8	0.04	0	0	0.0	1	0	103	0.0	1
2	159	1.125	2	1	6	3	0.0	0	1	1.0	0	0	167	19.0	1
0	170	1.5	2	1	2	8	0.25	0	0	0.0	1	0	101	122.0	1
1	293	13.585	2	1	9	4	8.5	1	0	0.0	1	0	0	0.0	0
0	89	12.75	2	1	2	1	4.75	1	1	2.0	0	0	155	444.0	0
2	70	1.5	3	3	1	8	0.54	0	0	0.0	1	0	8	67.0	1
1	71	0.335	2	1	11	8	0.75	0	0	0.0	0	2	23	0.0	1
2	22	6.75	3	3	10	8	0.04	0	0	0.0	0	0	15	0.0	1
2	94	12.0	2	1	9	8	2.25	1	1	2.0	1	0	8	5.0	1
2	134	14.5	2	1	4	8	0.125	0	0	0.0	0	0	0	286.0	1
1	17	9.0	2	1	1	8	1.375	1	0	0.0	1	0	0	0.0	0
2	125	4.0	3	3	7	4	5.75	1	1	2.0	1	0	156	0.0	1
2	108	0.25	2	1	7	1	0.0	1	0	0.0	1	0	0	0.0	0
2	119	1.585	2	1	3	4	1.835	1	1	12.0	1	0	146	713.0	0
1	123	2.04	2	1	13	8	0.25	0	0	0.0	1	0	34	50.0	1
1	317	16.0	2	1	8	3	0.0	1	1	15.0	0	0	0	247.0	0
2	195	4.0	2	1	4	1	12.5	1	0	0.0	1	0	170	0.0	1
1	20	10.21	2	1	6	3	0.0	0	0	0.0	0	0	0	50.0	1
1	153	10.665	2	1	11	4	0.085	0	1	12.0	1	0	11	3.0	1
2	283	3.5	2	1	1	8	3.5	1	0	0.0	0	2	56	0.0	0
2	92	2.75	2	1	2	8	2.25	1	1	6.0	0	0	170	600.0	0
2	311	9.415	2	1	6	3	14.415	1	1	11.0	1	0	79	300.0	0
2	34	0.0	3	3	10	1	0.0	0	0	0.0	1	2	136	1.0	0
2	23	2.46	2	1	2	6	0.96	0	1	2.0	1	0	23	587.0	1
2	192	0.0	0	0	0	0	0.0	0	0	0.0	0	1	170	0.0	1
2	334	12.75	3	3	2	4	5.0	1	0	0.0	0	0	5	0.0	1
1	212	5.125	2	1	5	8	5.0	1	0	0.0	1	0	0	4000.0	0
2	349	0.625	2	1	9	8	0.25	0	0	0.0	0	0	103	2010.0	1
2	123	2.0	2	1	14	4	1.0	1	1	4.0	0	0	15	7544.0	0
2	114	4.5	3	3	2	1	2.5	0	0	0.0	0	0	40	1210.0	1
2	29	5.0	2	1	11	8	0.375	1	1	2.0	0	0	0	38.0	1
2	337	20.0	2	1	14	4	17.5	1	1	9.0	1	0	0	1000.0	0
2	194	15.0	2	1	12	6	5.375	1	1	9.0	1	0	0	134.0	0
2	113	4.25	2	1	3	8	4.29	1	1	1.0	1	0	8	0.0	0
1	60	11.75	2	1	2	8	0.25	0	0	0.0	1	0	34	0.0	1
2	122	3.25	3	3	11	4	5.085	0	1	2.0	1	0	98	1.0	1
2	103	0.75	2	1	2	1	0.25	1	0	0.0	0	0	92	23.0	0
1	278	8.0	2	1	5	1	6.5	1	1	6.0	0	0	102	51100.0	0
1	92	4.5	2	1	13	8	1.0	0	0	0.0	1	0	96	6.0	1
1	123	1.5	2	1	10	8	2.0	1	0	0.0	0	2	97	0.0	1
2	67	11.0	2	1	13	8	2.0	1	1	1.0	0	0	159	278.0	0
2	222	0.705	2	1	2	8	0.375	0	1	2.0	0	0	54	500.0	1
1	200	12.0	2	1	11	4	14.0	1	1	8.0	0	0	0	6590.0	0
1	195	1.25	3	3	7	4	0.5	0	0	0.0	1	0	23	0.0	1
2	310	0.5	3	3	9	4	3.96	1	0	0.0	0	0	34	314.0	0
1	294	12.54	2	1	1	8	2.29	1	1	3.0	1	0	22	0.0	0
1	2	0.375	2	1	2	8	1.0	0	0	0.0	0	0	8	18.0	1
1	89	1.75	3	3	2	8	0.165	0	0	0.0	0	0	13	0.0	1
2	196	2.5	2	1	13	8	0.0	1	0	0.0	1	0	59	200.0	0
2	22	5.5	2	1	9	8	0.5	1	0	0.0	0	0	159	0.0	0
2	105	0.875	2	1	9	8	0.375	0	1	2.0	1	0	31	3.0	1
2	62	0.54	3	3	14	8	0.04	1	1	1.0	1	0	160	59.0	0
2	48	1.25	3	3	2	4	1.375	1	1	3.0	1	0	15	210.0	1
2	109	1.54	2	1	13	8	0.125	0	0	0.0	0	0	1	0.0	1
2	119	0.625	2	1	1	8	0.455	1	0	0.0	1	0	40	0.0	1
1	203	1.0	2	1	2	8	2.0	1	1	11.0	0	0	0	456.0	0
2	229	1.71	2	1	14	8	0.125	1	1	5.0	1	0	131	0.0	0
2	198	2.5	2	1	9	8	4.5	1	1	7.0	0	0	19	1270.0	0
2	172	3.0	2	1	4	8	0.165	0	0	0.0	1	0	8	0.0	1
1	87	2.5	3	3	7	1	4.5	0	0	0.0	0	0	40	456.0	1
1	31	9.54	2	1	1	8	0.085	1	0	0.0	0	0	1	0.0	0
2	53	0.25	3	3	2	4	0.25	0	0	0.0	0	0	74	204.0	1
2	195	2.5	3	3	13	8	3.0	0	0	0.0	0	2	40	0.0	1
1	60	1.75	3	3	8	5	0.0	0	0	0.0	0	0	23	0.0	1
2	281	4.165	2	1	14	1	0.085	0	0	0.0	1	0	141	0.0	1
1	50	0.5	3	3	5	2	1.0	0	0	0.0	0	0	67	0.0	1
1	24	10.0	2	1	13	8	1.0	0	1	1.0	0	0	8	1.0	1
2	102	12.5	2	1	3	8	1.21	1	1	67.0	1	0	15	258.0	0
1	22	0.375	1	2	3	3	10.0	0	0	0.0	1	2	80	0.0	0
2	259	0.375	3	3	2	8	0.375	1	1	8.0	1	0	80	162.0	0
2	327	2.71	2	1	2	8	2.415	0	0	0.0	1	0	86	0.0	1
2	128	0.125	3	3	9	8	0.085	0	0	0.0	0	0	49	2100.0	1
1	57	6.0	2	1	1	8	2.5	1	1	3.0	0	0	159	918.0	0
2	61	0.25	2	1	4	4	0.665	1	0	0.0	1	0	0	0.0	0
1	328	4.46	2	1	11	4	3.04	1	1	6.0	0	0	118	560.0	0
1	107	8.665	2	1	1	8	1.415	1	0	0.0	0	0	23	150.0	0
2	172	2.165	3	3	9	3	0.0	0	0	0.0	0	0	8	0.0	1
2	53	0.875	3	3	2	4	0.25	0	0	0.0	0	0	74	204.0	1
1	97	13.5	3	3	6	3	2.0	0	1	1.0	1	0	40	1.0	1
2	110	13.0	2	1	5	2	0.0	0	0	0.0	1	0	15	1110.0	1
1	133	3.75	2	1	2	8	0.25	0	1	1.0	1	0	110	154.0	1
2	183	2.165	2	1	2	8	1.5	0	0	0.0	0	1	8	0.0	1
2	335	7.0	2	1	5	9	0.0	0	0	0.0	0	0	0	12.0	1
2	7	0.04	2	1	2	8	0.04	0	0	0.0	0	0	0	0.0	0
1	82	0.585	3	3	6	3	0.125	0	0	0.0	0	0	8	87.0	1
2	349	4.0	2	1	14	8	5.0	1	1	3.0	1	0	77	2279.0	0
2	141	4.5	2	1	13	8	7.5	1	1	2.0	1	0	88	0.0	0
2	261	3.0	2	1	11	4	6.0	1	1	11.0	0	0	159	0.0	0
2	267	8.5	2	1	3	4	14.0	1	1	1.0	1	0	162	2000.0	0
1	42	1.25	2	1	2	8	0.0	0	0	0.0	0	0	0	0.0	1
2	100	0.375	2	1	10	8	0.25	1	1	3.0	0	0	67	15108.0	0
1	28	10.0	2	1	4	8	0.415	0	0	0.0	0	0	159	42.0	1
2	36	7.25	2	1	10	8	0.04	0	1	1.0	0	0	1	1.0	1
2	137	3.5	2	1	13	8	3.5	1	1	3.0	1	0	87	0.0	1
1	18	0.0	3	3	8	3	0.0	0	0	0.0	0	0	161	0.0	1
2	216	0.835	2	1	5	8	0.04	0	0	0.0	0	0	8	5.0	1
1	267	4.585	2	1	9	4	1.0	0	0	0.0	1	2	61	0.0	1
2	187	0.08	3	3	10	1	0.04	1	1	1.0	1	0	74	2000.0	0
2	114	2.0	2	1	4	8	0.75	0	0	0.0	1	0	159	0.0	1
2	303	1.375	3	3	2	4	9.46	1	0	0.0	1	0	40	100.0	1
2	74	3.165	3	3	2	8	0.165	0	0	0.0	0	0	23	1058.0	1
2	202	2.415	2	1	13	8	0.125	0	1	2.0	0	0	51	1.0	1
2	201	0.75	2	1	9	8	1.5	0	0	0.0	1	0	57	0.0	1
2	181	1.75	2	1	14	4	4.5	1	1	4.0	1	0	64	857.0	0
1	49	10.25	2	1	11	8	0.71	1	1	2.0	1	0	133	0.0	0
2	349	3.0	3	3	7	1	7.0	0	0	0.0	0	0	0	1.0	1
1	89	2.415	3	3	2	8	0.0	0	0	0.0	0	0	8	0.0	1
2	238	21.5	2	1	5	9	20.0	1	1	11.0	0	0	0	1200.0	0
2	290	2.29	2	1	6	3	0.29	0	0	0.0	0	0	40	3.0	1
2	227	5.0	2	1	3	8	3.5	1	1	10.0	1	0	0	0.0	0
2	349	5.0	3	3	1	8	8.5	1	0	0.0	0	0	0	0.0	1
2	349	0.04	3	3	4	8	4.25	0	0	0.0	1	0	128	0.0	1
1	49	9.54	2	1	7	8	0.04	0	0	0.0	0	0	40	1000.0	1
1	278	3.0	2	1	14	8	13.875	1	1	2.0	1	0	139	1704.0	0
2	77	0.0	2	1	3	8	0.085	1	0	0.0	0	0	0	0.0	0
2	102	0.29	3	3	2	8	1.5	0	0	0.0	1	0	23	0.0	1
2	117	0.75	2	1	2	4	4.25	1	1	3.0	1	0	84	150.0	0
1	349	3.5	2	1	4	8	3.0	1	0	0.0	1	0	80	0.0	1
2	170	14.0	3	3	6	3	0.0	0	1	2.0	0	0	23	1.0	1
1	70	10.75	2	1	11	8	0.415	1	1	5.0	1	0	0	560.0	0
2	141	4.75	2	1	10	8	2.0	0	1	1.0	1	0	128	68.0	1
2	102	3.25	2	1	2	4	2.29	0	1	1.0	1	0	115	21.0	1
1	94	12.33	2	1	3	4	3.5	1	1	6.0	0	0	111	458.0	0
2	300	2.04	3	3	6	3	1.5	0	0	0.0	0	0	8	1.0	1
2	309	6.75	2	1	2	4	2.625	1	1	11.0	1	0	0	284.0	0
1	223	5.0	2	1	3	8	13.5	1	0	0.0	1	0	168	0.0	1
1	99	1.125	2	1	11	8	1.29	1	1	2.0	0	0	40	0.0	1
0	241	3.5	2	1	7	1	0.5	0	0	0.0	0	2	6	0.0	1
2	208	0.75	3	3	4	8	0.585	0	0	0.0	0	0	61	3.0	1
2	156	0.0	2	1	13	8	1.25	1	1	1.0	0	0	42	0.0	0
2	124	0.585	3	3	3	8	0.25	1	1	2.0	0	0	67	500.0	0
2	331	14.5	2	1	6	3	18.0	1	1	15.0	1	0	0	1000.0	0
2	63	7.835	3	3	7	1	0.165	0	0	0.0	1	0	170	0.0	1
2	205	18.125	2	1	13	8	0.085	0	0	0.0	0	0	86	3552.0	1
2	174	1.5	2	1	3	4	5.5	1	1	3.0	1	0	0	0.0	0
2	83	12.0	2	1	2	8	2.085	0	0	0.0	0	2	159	0.0	1
2	170	0.165	3	3	2	4	3.25	1	1	1.0	1	0	120	8000.0	0
2	158	1.5	3	3	13	8	0.04	0	0	0.0	0	2	23	0.0	1
1	48	1.835	2	1	11	8	2.085	1	1	5.0	0	0	51	2503.0	0
2	74	0.17	2	1	10	8	0.085	0	0	0.0	0	2	0	0.0	1
1	90	0.67	2	1	1	4	1.75	1	0	0.0	0	0	111	0.0	1
2	212	0.125	3	3	2	8	1.5	0	0	0.0	1	0	58	113.0	0
2	171	7.5	2	1	5	1	1.585	1	0	0.0	1	2	116	0.0	1
1	119	0.29	2	1	10	4	0.125	0	1	1.0	1	0	70	108.0	1
2	96	3.5	2	1	3	8	0.625	1	1	7.0	0	0	0	7059.0	0
2	90	12.5	2	1	13	8	0.875	1	0	0.0	1	0	67	0.0	1
2	5	3.125	2	1	13	8	0.085	0	1	1.0	0	0	0	6.0	1
2	147	1.04	3	3	7	1	0.5	1	1	10.0	1	0	13	28.0	1
1	313	7.08	2	1	9	4	6.75	1	1	3.0	1	0	1	50.0	1
1	320	4.25	3	3	6	3	5.0	0	0	0.0	1	0	0	4.0	1
1	23	10.0	3	3	11	4	0.165	0	0	0.0	0	0	90	0.0	1
1	305	7.0	2	1	1	4	3.0	0	0	0.0	0	0	0	0.0	1
1	30	7.5	2	1	11	8	2.71	1	1	5.0	0	0	170	26726.0	0
1	69	8.5	2	1	11	8	1.75	1	1	10.0	0	0	159	990.0	1
2	211	4.415	3	3	9	8	0.25	1	1	10.0	1	0	86	0.0	0
2	94	12.5	2	1	1	8	3.0	1	0	0.0	1	2	39	0.0	0
0	46	7.5	2	1	9	8	1.5	1	1	1.0	0	0	23	234.0	0
2	163	16.165	2	1	4	8	3.0	1	1	9.0	0	0	62	730.0	0
1	68	11.25	3	3	14	4	0.75	1	1	4.0	0	0	0	321.0	0
2	167	1.75	3	3	5	4	0.04	1	0	0.0	1	0	106	0.0	0
2	314	11.5	2	1	6	3	5.0	1	1	5.0	0	0	0	8851.0	0
1	73	2.29	2	1	11	4	2.29	1	1	7.0	1	0	15	2384.0	0
2	245	0.0	2	1	2	1	15.0	1	0	0.0	0	0	0	0.0	0
2	71	10.5	2	1	11	4	1.335	1	0	0.0	0	0	1	0.0	0
2	176	2.5	2	1	1	8	1.75	0	1	2.0	1	0	154	0.0	1
2	232	1.71	3	3	10	8	0.165	0	0	0.0	0	2	111	0.0	1
2	256	4.085	2	1	1	8	0.04	0	0	0.0	0	0	3	100.0	1
2	199	16.5	3	3	2	8	4.0	1	0	0.0	0	0	159	0.0	1
1	59	11.5	3	3	8	5	0.0	1	1	11.0	1	0	0	0.0	0
2	251	9.79	2	1	14	4	7.96	1	1	8.0	0	0	0	0.0	0
2	49	5.085	3	3	8	8	0.29	0	0	0.0	0	0	15	184.0	1
2	257	1.25	2	1	10	8	13.875	0	1	1.0	1	0	94	112.0	1
2	194	2.5	2	1	3	1	0.5	0	0	0.0	0	0	91	0.0	1
2	85	0.875	2	1	10	8	0.085	0	1	4.0	0	0	65	1950.0	1
1	4	2.875	2	1	11	8	0.085	0	0	0.0	0	0	8	0.0	1
2	104	12.835	2	1	3	8	0.5	0	0	0.0	0	0	0	2.0	1
2	165	2.5	2	1	1	8	7.5	1	0	0.0	1	0	142	0.0	1
1	178	4.625	2	1	11	4	1.625	1	1	2.0	0	0	0	0.0	0
1	68	5.665	2	1	11	8	2.585	1	1	7.0	0	0	11	3257.0	0
2	86	0.875	2	1	11	8	4.625	1	1	2.0	1	0	141	2000.0	0
2	160	19.5	2	1	2	8	7.0	1	1	16.0	0	0	0	5000.0	0
2	48	5.29	2	1	11	8	0.375	1	1	1.0	0	0	23	0.0	1
2	288	26.335	3	3	6	3	0.0	1	0	0.0	1	0	0	0.0	1
2	292	19.0	2	1	6	3	0.0	1	1	1.0	0	0	166	0.0	1
2	129	5.125	2	1	14	8	4.75	1	1	2.0	0	0	116	7.0	0
2	95	1.71	2	1	14	8	1.665	1	1	1.0	1	0	107	20.0	0
1	54	2.335	2	1	7	1	0.5	1	1	4.0	0	2	159	0.0	0
2	28	5.71	2	1	4	8	0.54	0	0	0.0	0	0	8	0.0	1
2	244	1.335	2	1	4	8	0.165	0	0	0.0	0	0	27	0.0	1
2	148	0.5	2	1	2	8	1.75	1	1	11.0	0	0	85	540.0	0
2	88	2.0	2	1	5	2	0.165	0	1	2.0	0	0	86	1300.0	1
1	69	8.46	3	3	14	8	2.46	0	0	0.0	0	0	25	0.0	0
2	66	0.46	2	1	9	8	0.125	0	0	0.0	1	0	74	55.0	1
2	48	0.415	2	1	2	8	0.125	0	0	0.0	0	0	0	44.0	1
2	33	0.0	3	3	6	3	0.0	0	1	4.0	0	0	124	1.0	1
1	337	0.165	2	1	6	3	0.0	1	1	1.0	0	0	58	100.0	0
2	188	1.54	2	1	3	8	1.54	1	1	1.0	1	0	141	50000.0	0
2	265	0.5	2	1	7	4	5.0	1	0	0.0	1	0	86	0.0	0
2	56	0.75	3	3	12	6	0.75	0	0	0.0	1	0	13	2.0	1
2	183	1.25	2	1	13	8	1.165	0	0	0.0	0	0	8	0.0	1
2	148	1.085	3	3	2	8	0.04	0	0	0.0	0	0	29	179.0	1
1	265	0.0	2	1	2	8	2.5	1	0	0.0	0	0	0	0.0	0
2	188	5.25	2	1	13	8	0.085	0	0	0.0	1	0	77	6.0	0
2	153	2.71	3	3	10	8	0.125	0	0	0.0	1	2	159	0.0	1
2	198	25.125	2	1	14	4	1.625	1	1	1.0	1	0	138	500.0	0
1	333	5.0	2	1	1	8	4.0	1	1	4.0	0	0	0	99.0	0
1	34	5.415	2	1	7	4	0.29	0	0	0.0	0	0	159	484.0	1
2	308	9.625	2	1	5	8	8.665	1	1	5.0	0	0	0	0.0	0
1	302	0.0	3	3	6	3	0.0	0	0	0.0	0	0	0	0.0	1
1	74	1.25	2	1	11	8	0.25	0	0	0.0	1	0	8	809.0	1
2	125	1.54	2	1	13	8	3.75	1	1	5.0	1	0	1	3.0	0
2	144	2.04	3	3	14	4	0.04	0	0	0.0	0	0	10	1.0	1
2	76	2.5	2	1	2	8	1.085	1	1	11.0	1	0	147	2184.0	0
2	155	1.585	2	1	4	8	0.585	0	0	0.0	1	2	0	0.0	1
0	269	1.0	2	1	11	8	0.125	0	0	0.0	1	0	68	0.0	1
1	103	0.5	2	1	2	4	0.875	1	0	0.0	1	0	134	0.0	0
1	6	0.335	2	1	6	3	0.0	0	1	1.0	0	0	23	126.0	1
1	14	9.5	2	1	1	8	1.75	0	1	10.0	1	0	0	10.0	1
2	64	0.83	2	1	2	4	2.165	0	0	0.0	1	0	10	0.0	0
2	125	1.5	2	1	13	8	2.0	1	1	11.0	1	0	121	35.0	0
2	287	6.5	2	1	11	4	6.0	1	0	0.0	1	0	93	0.0	0
2	211	3.25	2	1	11	4	9.0	1	0	0.0	1	0	2	639.0	0
2	233	4.25	2	1	2	1	6.5	1	1	16.0	0	0	7	1210.0	0
1	116	13.5	2	1	11	4	5.0	1	1	2.0	0	0	0	5000.0	0
2	55	7.5	2	1	1	8	1.415	1	1	1.0	0	0	159	9800.0	0
0	111	2.71	3	3	0	0	0.085	0	0	0.0	0	2	159	0.0	1
1	75	11.75	2	1	14	4	0.5	1	1	2.0	1	0	80	551.0	0
2	340	5.5	2	1	5	9	13.0	1	1	1.0	1	0	0	0.0	0
2	196	5.0	2	1	14	4	7.5	1	1	6.0	1	0	0	1000.0	0
1	91	12.5	2	1	1	8	1.5	1	1	12.0	1	0	8	567.0	0
1	38	0.665	3	3	2	8	1.0	0	1	1.0	0	0	41	2.0	1
2	226	1.75	2	1	9	8	0.5	0	0	0.0	1	0	80	2.0	1
2	18	4.46	2	1	2	8	0.25	0	0	0.0	0	2	159	0.0	1
2	177	2.5	3	3	13	8	7.0	0	0	0.0	1	0	74	0.0	1
2	43	8.17	2	1	1	8	1.96	1	1	14.0	0	0	147	158.0	0
2	219	10.125	2	1	14	8	2.5	1	1	6.0	0	0	141	196.0	0
2	136	0.375	2	1	2	8	0.29	0	0	0.0	0	0	51	140.0	1
2	63	0.79	2	1	13	8	0.29	0	1	1.0	0	0	116	283.0	1
2	136	15.0	2	1	2	4	5.335	1	1	11.0	0	0	0	2283.0	0
2	37	9.585	2	1	1	8	0.79	0	0	0.0	0	0	159	350.0	1
2	11	0.335	3	3	9	8	0.29	0	0	0.0	0	2	40	0.0	1
0	179	2.25	3	3	3	8	3.5	0	0	0.0	1	0	40	141.0	1
2	142	0.75	3	3	2	8	0.04	0	0	0.0	0	0	61	0.0	1
2	236	6.21	2	1	11	8	0.04	1	1	1.0	0	0	40	300.0	0
