At1	At2	class
-1.03	0.654	-1.0
0.431	-1.33	-1.0
-0.0583	-1.15	-1.0
-0.209	0.345	1.0
1.26	-1.37	1.0
-1.78	-0.37799999999999995	1.0
0.98	-0.0439	1.0
-0.0536	1.6	-1.0
-1.39	-0.451	1.0
1.22	-0.361	1.0
1.22	0.561	-1.0
-0.838	0.35600000000000004	1.0
-0.446	-0.861	-1.0
1.17	-1.39	1.0
-0.0868	-1.33	-1.0
-1.12	0.5760000000000001	-1.0
-0.28	-1.3	-1.0
-0.0269	0.958	1.0
-0.6970000000000001	1.35	-1.0
1.38	-1.74	1.0
0.408	1.16	-1.0
1.2	1.54	1.0
2.07	1.02	1.0
-0.462	-0.187	1.0
1.27	0.589	-1.0
-0.10099999999999999	-0.765	-1.0
-0.8190000000000001	1.26	-1.0
0.615	-0.0228	1.0
-1.79	-0.98	1.0
-1.79	-0.9540000000000001	1.0
0.826	1.5	1.0
0.845	0.7659999999999999	-1.0
-0.47600000000000003	-1.49	-1.0
1.01	0.48	-1.0
1.39	-0.376	-1.0
0.35700000000000004	-1.07	-1.0
0.77	1.4	-1.0
-1.08	0.114	1.0
-0.795	-1.43	-1.0
0.706	1.38	1.0
-1.26	0.23	1.0
-0.833	-0.569	-1.0
-0.0303	2.11	-1.0
-0.223	-0.419	1.0
-0.562	-0.873	-1.0
0.9259999999999999	0.972	-1.0
-1.86	-1.57	1.0
-0.8059999999999999	0.941	-1.0
-0.214	0.38	1.0
0.7440000000000001	1.42	1.0
1.94	-0.65	-1.0
1.77	1.35	1.0
-0.903	0.10099999999999999	1.0
-0.0418	-1.02	-1.0
0.309	-0.175	1.0
-0.634	-0.9690000000000001	-1.0
-1.62	0.102	-1.0
-1.21	1.27	-1.0
0.529	0.133	-1.0
0.386	1.55	-1.0
-0.0962	0.19	1.0
-0.536	1.13	-1.0
1.02	-0.261	1.0
-0.8759999999999999	-1.0	-1.0
2.35	1.21	1.0
-0.982	-1.08	-1.0
-1.16	0.469	1.0
-1.74	0.693	-1.0
-1.1	1.16	-1.0
0.0179	-0.7	1.0
-0.62	-0.9840000000000001	-1.0
-1.52	0.66	-1.0
1.07	-0.985	1.0
0.917	0.525	-1.0
-0.0482	1.52	-1.0
1.49	1.55	1.0
-0.584	1.01	-1.0
-0.0625	-0.12	1.0
-1.68	1.08	-1.0
-1.77	-0.9229999999999999	1.0
-0.20199999999999999	0.7120000000000001	1.0
1.06	-0.42700000000000005	1.0
1.71	1.1	1.0
-1.7	0.872	-1.0
1.86	1.14	1.0
-0.529	-0.35700000000000004	1.0
-0.41100000000000003	-1.3	-1.0
0.6659999999999999	1.36	1.0
0.162	-0.7909999999999999	-1.0
-0.29600000000000004	0.255	1.0
-0.0347	1.3	-1.0
0.294	-1.5	-1.0
-0.52	-1.17	-1.0
0.741	-1.2	1.0
-1.33	1.08	-1.0
-0.0987	0.966	1.0
0.0131	-0.9690000000000001	-1.0
0.8959999999999999	1.58	1.0
-0.41200000000000003	0.49200000000000005	1.0
0.6829999999999999	1.07	-1.0
-0.753	-0.0615	1.0
-0.0674	1.85	-1.0
1.08	0.6829999999999999	-1.0
1.15	0.243	-1.0
0.49700000000000005	-0.6709999999999999	1.0
0.174	1.92	-1.0
1.64	0.0477	-1.0
-0.478	-0.7959999999999999	-1.0
-0.447	-1.0	-1.0
-1.04	-0.2	1.0
2.06	-0.48200000000000004	-1.0
-0.89	-1.17	-1.0
0.312	-1.23	-1.0
0.976	-1.39	1.0
0.29100000000000004	-0.795	-1.0
0.303	-0.14300000000000002	1.0
1.1	-0.695	1.0
0.579	-1.02	1.0
-1.54	0.685	-1.0
0.9159999999999999	0.14400000000000002	1.0
1.18	0.614	-1.0
0.254	-0.862	-1.0
-0.877	-0.401	1.0
1.97	0.99	1.0
0.47100000000000003	1.39	-1.0
1.63	0.475	-1.0
0.945	0.309	-1.0
0.121	-1.3	-1.0
1.06	-0.69	1.0
1.42	-0.32	1.0
0.535	0.504	1.0
0.912	-0.114	-1.0
-0.75	1.14	-1.0
1.14	-0.209	1.0
-1.03	-1.09	-1.0
0.268	-1.08	1.0
-1.77	-0.828	1.0
0.37799999999999995	-0.0609	1.0
1.19	0.113	1.0
-0.168	1.32	-1.0
2.07	1.21	1.0
-1.07	0.7070000000000001	-1.0
-1.19	0.309	-1.0
1.19	0.6970000000000001	-1.0
0.121	1.72	-1.0
1.23	-0.0582	1.0
0.44	0.39899999999999997	1.0
-0.723	0.633	-1.0
-0.63	0.9490000000000001	-1.0
0.14300000000000002	0.263	1.0
1.23	-0.615	1.0
1.9	-0.0565	-1.0
1.22	-0.0172	-1.0
0.0107	0.0258	1.0
0.36	-0.715	1.0
0.139	-1.01	-1.0
0.308	-1.06	-1.0
-0.645	-0.23800000000000002	1.0
1.15	0.715	-1.0
-0.531	-1.27	-1.0
1.05	0.701	-1.0
0.0681	-0.76	-1.0
-0.595	1.46	-1.0
0.72	0.9890000000000001	-1.0
-1.86	-0.963	1.0
0.0692	-0.828	-1.0
0.863	0.765	-1.0
-0.574	1.32	-1.0
-0.467	-1.51	-1.0
1.43	0.484	-1.0
-0.5920000000000001	-1.17	-1.0
0.122	-0.040999999999999995	1.0
0.909	0.11800000000000001	-1.0
-0.705	-0.93	-1.0
1.05	0.45299999999999996	-1.0
-0.7859999999999999	-1.33	-1.0
0.07	1.7	-1.0
-0.36	-1.28	-1.0
-1.25	0.985	-1.0
1.33	1.42	1.0
0.778	-0.6940000000000001	1.0
-1.87	-1.26	1.0
0.17800000000000002	1.49	-1.0
-1.03	1.18	-1.0
-0.956	-0.818	1.0
0.0345	-0.691	-1.0
-1.25	0.512	1.0
-0.187	-1.38	-1.0
-1.24	1.0	-1.0
0.32899999999999996	-0.37	1.0
-1.37	-0.8029999999999999	1.0
0.529	1.62	-1.0
-0.23	1.08	-1.0
-0.619	-0.748	-1.0
-0.914	1.07	-1.0
0.163	-1.31	-1.0
1.19	-1.34	1.0
0.983	-1.31	1.0
-1.63	-1.41	1.0
-1.02	-0.29600000000000004	1.0
-0.387	0.26	1.0
-1.59	-1.0	1.0
1.69	-0.7240000000000001	-1.0
-0.8690000000000001	-0.0393	1.0
-1.9	0.106	1.0
-1.75	0.722	-1.0
-1.06	-1.07	-1.0
-0.509	-1.41	-1.0
-0.11199999999999999	-0.841	1.0
1.08	0.79	-1.0
0.498	0.5670000000000001	-1.0
-0.7959999999999999	-1.63	-1.0
-0.3	-1.04	-1.0
-2.34	0.24600000000000002	-1.0
0.8420000000000001	-1.41	1.0
-0.0263	-1.35	-1.0
0.586	1.15	-1.0
1.87	-0.239	-1.0
0.40399999999999997	-0.868	-1.0
0.564	-1.13	1.0
-0.0584	0.54	1.0
-1.58	-1.26	1.0
-0.813	-0.57	1.0
-0.579	-0.748	1.0
-1.35	1.32	-1.0
-0.639	-0.938	-1.0
1.49	-0.007790000000000001	-1.0
0.7190000000000001	0.0781	1.0
0.0346	1.7	-1.0
-0.27399999999999997	0.0468	1.0
0.207	0.0304	1.0
1.63	-0.251	-1.0
-0.207	-0.745	-1.0
-0.7170000000000001	1.0	-1.0
1.17	-0.5670000000000001	1.0
0.6609999999999999	1.69	-1.0
-1.13	0.6	-1.0
-0.109	-1.25	-1.0
0.68	0.7020000000000001	-1.0
0.867	0.81	-1.0
-0.562	-1.01	-1.0
1.79	-0.102	-1.0
-1.87	-1.1	1.0
-0.946	-0.19699999999999998	1.0
0.812	-0.195	1.0
0.287	-0.517	1.0
0.262	-0.6729999999999999	-1.0
-0.358	-1.02	-1.0
-0.392	-1.27	-1.0
-1.2	-1.02	-1.0
-0.337	-1.45	-1.0
-1.54	-0.643	1.0
0.311	1.76	-1.0
-0.473	-0.7490000000000001	-1.0
1.71	0.0217	-1.0
1.88	-0.368	-1.0
-1.18	-0.0978	1.0
0.0431	-0.0199	1.0
1.23	0.354	-1.0
0.0788	-0.0998	1.0
0.0544	-1.59	-1.0
-0.24	1.72	1.0
-0.496	-1.09	-1.0
-0.636	1.35	-1.0
1.15	0.634	-1.0
1.29	-1.43	1.0
-0.983	1.06	-1.0
-0.20600000000000002	-0.474	1.0
0.298	-0.8290000000000001	1.0
-0.972	-1.06	-1.0
1.21	0.354	-1.0
0.32799999999999996	1.71	1.0
0.313	-1.07	-1.0
-1.24	-0.35200000000000004	1.0
-1.39	-0.68	1.0
1.2	-1.56	1.0
-0.20800000000000002	0.332	1.0
0.5529999999999999	1.54	-1.0
0.354	-1.19	-1.0
-0.74	-1.53	-1.0
-0.769	1.35	-1.0
-0.0381	-0.7909999999999999	-1.0
-0.102	-0.13	1.0
-1.06	0.496	1.0
-0.48100000000000004	1.09	-1.0
0.866	-0.917	1.0
1.06	0.266	-1.0
1.73	1.68	1.0
-0.516	-0.935	-1.0
-0.893	-1.27	-1.0
1.2	-0.948	1.0
0.763	1.15	-1.0
0.794	0.762	-1.0
-0.314	0.0194	1.0
-0.456	1.55	-1.0
1.04	0.563	-1.0
-0.0978	-0.424	1.0
1.37	-0.643	-1.0
-0.201	0.0726	1.0
-1.97	0.611	-1.0
0.99	-0.0762	1.0
1.28	0.902	-1.0
0.569	1.62	1.0
-1.2	-0.451	1.0
-0.508	1.48	-1.0
-1.69	-0.175	-1.0
-0.298	-1.26	-1.0
0.301	-1.17	-1.0
0.975	1.48	-1.0
-0.853	-0.254	1.0
0.8370000000000001	1.75	1.0
0.379	1.36	-1.0
-0.364	-0.0828	1.0
0.9390000000000001	-0.35100000000000003	1.0
1.24	0.5539999999999999	-1.0
1.37	-0.331	1.0
-0.48	-0.9129999999999999	-1.0
1.34	-0.261	-1.0
0.28600000000000003	1.23	-1.0
0.672	2.03	-1.0
-0.52	-1.52	-1.0
-0.513	1.29	-1.0
-0.648	-0.631	-1.0
-0.113	-0.19699999999999998	1.0
0.10300000000000001	0.32899999999999996	1.0
-0.941	0.976	-1.0
-0.5329999999999999	-0.402	1.0
1.09	-1.59	1.0
-0.395	-0.7559999999999999	-1.0
1.46	-0.41700000000000004	1.0
-0.7240000000000001	-1.26	-1.0
-1.59	-0.98	1.0
0.159	1.51	-1.0
-0.843	1.4	-1.0
-0.581	-1.27	-1.0
-0.268	-1.26	-1.0
-1.58	-0.8420000000000001	1.0
-0.52	1.2	-1.0
-0.0203	1.92	1.0
-1.52	0.934	-1.0
1.05	0.444	-1.0
0.35100000000000003	-0.0402	1.0
-0.322	-1.12	-1.0
-0.654	-0.9990000000000001	-1.0
0.165	-1.58	-1.0
2.6	0.951	1.0
1.52	-0.0653	-1.0
-1.29	-0.529	1.0
1.18	0.392	-1.0
-0.00264	-1.02	-1.0
1.24	0.273	-1.0
1.45	0.39799999999999996	-1.0
0.54	-1.26	-1.0
-0.324	-1.03	-1.0
-1.69	-1.2	1.0
-0.455	0.868	-1.0
2.16	1.16	1.0
-0.23199999999999998	-1.4	-1.0
0.685	1.69	-1.0
-0.0537	-1.52	-1.0
1.03	0.5479999999999999	-1.0
-0.758	-1.21	-1.0
-0.259	0.496	1.0
-0.47200000000000003	0.41100000000000003	1.0
-0.127	-1.33	-1.0
-0.784	-1.05	-1.0
-1.73	-1.32	1.0
-1.24	-0.919	1.0
0.275	-0.987	-1.0
1.66	0.672	-1.0
-1.07	0.963	-1.0
-0.262	1.28	-1.0
-1.4	-0.37	1.0
-0.28800000000000003	0.305	1.0
0.778	1.44	1.0
1.23	-0.493	-1.0
-1.27	-0.273	1.0
-0.9940000000000001	1.14	-1.0
0.74	1.2	1.0
0.489	0.904	-1.0
0.805	-0.237	1.0
-1.86	-1.47	1.0
-0.617	-1.02	-1.0
-0.66	0.965	-1.0
0.48700000000000004	-0.13	1.0
-0.0508	-1.19	-1.0
0.96	-0.522	1.0
-1.21	0.778	-1.0
0.149	1.98	-1.0
-1.76	-0.903	1.0
0.0486	-0.389	1.0
-0.8909999999999999	1.0	-1.0
0.263	-1.48	-1.0
1.21	1.28	-1.0
-1.46	0.0829	1.0
-1.04	1.19	-1.0
-1.69	-0.542	1.0
0.7070000000000001	0.0524	1.0
1.31	-0.254	-1.0
-0.488	-0.5660000000000001	1.0
1.8	-0.8109999999999999	-1.0
1.84	1.18	1.0
1.49	-0.156	-1.0
-0.8809999999999999	-1.59	-1.0
0.529	0.7879999999999999	1.0
0.5710000000000001	0.19699999999999998	1.0
-2.07	0.0318	-1.0
-1.23	-0.308	1.0
0.682	1.5	-1.0
-1.33	0.0398	1.0
-1.35	0.424	1.0
0.307	-0.6779999999999999	-1.0
0.8590000000000001	-0.9520000000000001	1.0
-0.672	0.6829999999999999	1.0
1.36	0.258	-1.0
-0.37	1.48	-1.0
-1.9	-1.1	1.0
-1.38	-0.32	1.0
0.23399999999999999	0.958	-1.0
-1.01	-0.7709999999999999	1.0
-0.7390000000000001	0.578	1.0
-0.107	-1.5	-1.0
0.5920000000000001	0.973	-1.0
0.52	1.21	-1.0
0.41600000000000004	1.86	1.0
-0.18100000000000002	0.344	1.0
1.27	-0.441	-1.0
0.42200000000000004	-0.934	1.0
-0.7040000000000001	-0.802	-1.0
0.08800000000000001	-1.25	-1.0
0.9520000000000001	0.42700000000000005	-1.0
1.39	-0.218	-1.0
-1.08	-1.3	-1.0
1.25	-0.35	-1.0
0.183	-1.21	-1.0
-0.0765	-1.12	-1.0
-0.40700000000000003	0.602	1.0
0.975	0.809	-1.0
-0.0552	0.882	1.0
-0.946	1.02	-1.0
1.11	-0.106	-1.0
-0.794	1.07	-1.0
-0.652	-1.1	-1.0
-2.08	-1.78	1.0
-0.631	-0.867	-1.0
-0.856	-1.31	-1.0
-0.215	-1.01	-1.0
-1.12	0.154	1.0
-1.1	0.135	1.0
-0.134	-1.1	-1.0
0.8440000000000001	0.243	-1.0
0.47200000000000003	0.289	1.0
1.64	0.174	-1.0
-0.413	-0.0275	1.0
-0.875	0.591	1.0
-0.40399999999999997	0.17800000000000002	1.0
-0.297	-0.467	1.0
-0.698	-1.26	-1.0
1.2	0.298	-1.0
-0.34600000000000003	-1.5	-1.0
-1.14	-0.494	1.0
-0.0242	-0.659	1.0
-0.495	-1.2	-1.0
-0.8029999999999999	-0.782	-1.0
-0.6409999999999999	0.516	1.0
-0.0874	-0.948	-1.0
-1.04	0.679	-1.0
0.701	0.0237	1.0
-0.677	-1.41	-1.0
-0.516	0.831	1.0
-0.8640000000000001	-1.56	-1.0
0.863	-1.02	1.0
-1.12	0.5589999999999999	1.0
-0.779	-1.14	-1.0
-0.9	1.49	-1.0
2.43	1.39	1.0
-1.67	-1.73	1.0
0.743	-1.18	1.0
-1.52	-0.6579999999999999	1.0
1.28	-0.17600000000000002	1.0
1.58	-1.29	1.0
0.61	0.488	-1.0
-2.15	-0.858	1.0
-0.0307	0.6779999999999999	1.0
-0.22699999999999998	-1.19	-1.0
0.642	1.65	1.0
-1.58	-1.25	1.0
0.373	1.48	-1.0
0.33299999999999996	-0.845	1.0
-1.18	-0.758	1.0
1.15	-1.52	1.0
-0.601	-0.539	1.0
-1.57	-1.74	1.0
0.652	-0.6459999999999999	1.0
-1.43	1.26	-1.0
0.71	0.0529	1.0
1.18	0.585	-1.0
-1.01	-1.27	1.0
0.13	1.38	-1.0
0.469	-0.321	1.0
-1.08	0.72	-1.0
0.987	0.858	-1.0
1.57	-0.389	-1.0
-0.41100000000000003	0.727	1.0
-0.72	0.18899999999999997	1.0
-0.00329	-0.0777	1.0
-0.937	-0.086	1.0
2.21	1.02	1.0
-0.606	-0.997	-1.0
1.4	0.377	-1.0
0.37	0.312	1.0
-1.41	-0.214	1.0
-0.192	1.66	-1.0
-0.0246	-0.141	1.0
1.07	-0.0433	-1.0
-0.47700000000000004	-1.25	-1.0
-1.35	-0.485	1.0
0.996	0.225	-1.0
-1.25	-1.28	-1.0
-0.198	1.67	1.0
-0.8	-0.282	1.0
0.168	0.345	1.0
0.851	1.46	-1.0
1.45	-1.24	1.0
-1.02	-1.18	-1.0
-1.31	0.9159999999999999	-1.0
-0.457	-0.322	1.0
0.0744	1.04	-1.0
0.902	-1.08	1.0
-0.904	0.953	-1.0
-0.11	-0.9109999999999999	-1.0
1.01	-1.05	1.0
0.441	-1.13	-1.0
-0.287	-0.726	1.0
0.205	-0.47100000000000003	1.0
-0.625	1.14	-1.0
-0.623	-0.737	1.0
-0.254	-0.932	-1.0
-0.8170000000000001	-1.19	-1.0
-1.73	0.87	-1.0
0.17600000000000002	1.94	-1.0
0.899	-0.235	1.0
0.8340000000000001	-0.584	1.0
0.15	-0.256	1.0
-1.23	-0.336	1.0
0.866	-0.807	1.0
1.07	0.0877	-1.0
-0.256	1.52	-1.0
2.34	-1.25	-1.0
-0.374	-1.08	-1.0
-1.16	0.381	-1.0
-1.3	-1.17	1.0
0.527	-0.251	1.0
-0.748	-0.57	1.0
1.02	0.997	-1.0
0.105	0.10300000000000001	1.0
0.563	0.13699999999999998	1.0
0.317	-0.0233	1.0
0.15	1.3	-1.0
-1.31	0.0072299999999999994	1.0
1.42	-0.146	-1.0
0.5760000000000001	1.7	1.0
-0.106	-0.316	1.0
-1.2	0.932	-1.0
-1.14	0.488	-1.0
-0.151	1.66	-1.0
-1.46	-0.909	1.0
1.36	-0.425	-1.0
1.41	0.83	-1.0
0.17600000000000002	-1.11	-1.0
-0.526	1.26	-1.0
0.552	-1.07	1.0
-1.14	0.304	1.0
-1.64	0.14300000000000002	1.0
-0.18899999999999997	-1.24	-1.0
0.775	0.0171	1.0
-0.598	1.22	-1.0
-1.71	-1.29	1.0
1.52	0.409	-1.0
0.5479999999999999	-0.9590000000000001	-1.0
-0.636	-0.988	1.0
-0.0723	-1.08	-1.0
0.0949	-0.8540000000000001	1.0
0.726	0.289	-1.0
1.43	0.147	-1.0
-0.0238	0.000407	1.0
0.9390000000000001	1.69	1.0
-1.29	0.511	-1.0
0.324	1.68	1.0
-0.506	-1.09	-1.0
0.341	-1.32	-1.0
-0.978	0.9309999999999999	-1.0
-1.31	-0.22899999999999998	1.0
1.29	0.677	-1.0
1.01	-0.94	1.0
0.0219	-0.38799999999999996	1.0
-0.647	-1.22	-1.0
-0.31	-1.38	-1.0
-0.146	0.132	1.0
1.38	0.877	-1.0
0.24	-1.14	-1.0
-1.01	-1.53	-1.0
1.21	-1.02	1.0
-0.623	1.24	-1.0
-1.42	0.83	-1.0
-0.0908	-0.846	-1.0
1.39	-0.872	1.0
0.502	-0.536	1.0
-0.046	1.51	-1.0
-1.35	-1.19	1.0
1.77	0.109	-1.0
-0.166	-0.986	-1.0
0.152	1.53	-1.0
0.308	0.9329999999999999	-1.0
-1.11	0.439	1.0
-1.87	-0.451	1.0
-1.66	-0.735	1.0
1.18	0.424	-1.0
-0.109	-0.884	-1.0
0.243	0.304	1.0
1.04	0.816	-1.0
0.514	1.27	-1.0
-0.145	1.67	-1.0
0.16899999999999998	1.86	1.0
-0.9840000000000001	-0.807	-1.0
0.379	-0.755	-1.0
-1.11	0.655	1.0
-0.9179999999999999	1.13	-1.0
-0.43	-0.722	-1.0
-1.62	-1.85	1.0
0.377	0.198	1.0
-0.32899999999999996	-0.858	-1.0
0.125	2.16	-1.0
-0.10800000000000001	-1.3	-1.0
-0.11800000000000001	1.7	1.0
0.826	0.7440000000000001	-1.0
-1.1	0.8109999999999999	-1.0
1.2	-0.598	1.0
-1.89	-0.727	1.0
1.45	0.22899999999999998	-1.0
0.833	-0.254	1.0
-1.7	-0.845	1.0
0.272	1.82	1.0
0.179	1.81	-1.0
-0.951	0.5329999999999999	-1.0
-1.07	0.534	1.0
-0.8740000000000001	0.922	-1.0
-0.0715	1.41	-1.0
0.195	-0.29600000000000004	1.0
0.373	-1.17	-1.0
0.8079999999999999	-0.831	1.0
-0.504	1.03	-1.0
1.39	0.262	-1.0
1.12	0.862	-1.0
0.755	0.22	1.0
1.57	-0.114	-1.0
1.32	1.36	1.0
0.802	0.133	-1.0
-0.5579999999999999	0.5720000000000001	1.0
0.27	0.696	1.0
-0.606	-0.546	1.0
-0.556	-0.505	1.0
-1.74	0.254	-1.0
0.14300000000000002	0.337	1.0
1.19	-0.40399999999999997	-1.0
-0.16	-1.36	-1.0
1.29	0.153	-1.0
1.47	-0.312	1.0
-0.853	-1.17	-1.0
-0.377	0.607	1.0
0.816	0.306	1.0
1.16	-1.08	1.0
0.37799999999999995	-0.56	1.0
-0.5670000000000001	-1.14	-1.0
0.934	0.258	1.0
1.01	-0.743	1.0
0.96	-0.9	1.0
-0.249	0.0234	1.0
1.45	-0.26	-1.0
-0.49700000000000005	1.07	-1.0
0.8270000000000001	0.755	-1.0
0.604	0.374	-1.0
2.51	1.11	1.0
0.154	-0.653	1.0
-0.264	-0.768	1.0
-0.573	-0.789	1.0
0.792	0.988	-1.0
-0.0338	1.52	-1.0
1.59	-0.522	-1.0
-0.61	-0.306	1.0
0.184	1.7	1.0
0.0317	-0.821	1.0
0.7809999999999999	0.415	-1.0
0.11800000000000001	-1.37	-1.0
-1.57	0.9420000000000001	-1.0
0.415	1.8	-1.0
0.552	2.05	-1.0
-1.21	-0.934	-1.0
-2.14	-0.47600000000000003	1.0
0.0154	-1.41	-1.0
-0.0789	-1.35	-1.0
-0.397	1.32	-1.0
-0.466	0.145	1.0
0.23800000000000002	-1.51	-1.0
-0.433	-1.13	-1.0
1.3	0.555	-1.0
0.0991	-1.05	-1.0
0.59	-0.7959999999999999	1.0
-0.235	-0.617	1.0
0.7959999999999999	0.429	1.0
-1.97	-0.271	1.0
0.284	2.37	-1.0
-0.39	-0.209	1.0
0.165	-0.405	1.0
-0.424	2.01	-1.0
-0.934	-1.58	-1.0
0.218	-0.368	1.0
-0.28300000000000003	1.88	1.0
-0.34700000000000003	-1.5	-1.0
-0.342	-1.31	-1.0
0.313	0.18899999999999997	1.0
-0.341	-0.0358	1.0
-0.00698	-1.15	-1.0
-1.73	-1.3	1.0
-0.451	0.775	1.0
-1.62	-0.7120000000000001	1.0
-0.862	-0.0613	1.0
-0.828	-0.8390000000000001	-1.0
-1.01	1.07	-1.0
1.02	0.858	-1.0
-0.255	0.387	1.0
0.11800000000000001	0.13	1.0
-0.7859999999999999	-0.64	1.0
-0.0895	1.65	1.0
2.46	1.23	1.0
-0.8029999999999999	-0.705	-1.0
-0.618	-1.2	-1.0
0.713	1.02	-1.0
0.976	-1.53	1.0
1.47	1.21	1.0
-1.97	-0.674	1.0
-0.012	1.42	-1.0
0.748	-0.5579999999999999	1.0
-1.45	-0.203	1.0
0.19899999999999998	-0.86	-1.0
-1.68	-0.51	1.0
0.56	0.491	-1.0
0.21600000000000003	-1.12	-1.0
-0.23199999999999998	-0.843	1.0
1.66	1.42	1.0
0.301	2.01	-1.0
1.33	0.825	-1.0
1.18	0.08	-1.0
-1.59	0.138	-1.0
1.78	-0.508	-1.0
1.37	-1.52	1.0
0.802	0.431	1.0
0.9129999999999999	-0.318	1.0
0.00564	-1.14	-1.0
-1.08	1.31	-1.0
0.379	1.37	-1.0
-0.106	-0.9329999999999999	-1.0
0.8540000000000001	-0.8270000000000001	1.0
-1.47	-0.212	1.0
1.24	-1.33	1.0
-0.314	-0.9840000000000001	-1.0
-0.474	-0.9109999999999999	-1.0
0.659	-0.057	1.0
1.83	0.349	-1.0
1.51	-1.15	1.0
-0.237	-1.4	-1.0
0.016	-1.13	-1.0
0.26	1.91	-1.0
-0.10400000000000001	-1.09	-1.0
-0.7240000000000001	-1.48	-1.0
1.24	-0.145	-1.0
-0.7759999999999999	-1.26	-1.0
1.16	0.0489	-1.0
1.05	-2.08	1.0
0.14300000000000002	1.05	-1.0
-1.42	-1.51	1.0
1.21	0.642	-1.0
0.551	1.48	-1.0
0.191	1.72	-1.0
0.345	-0.8909999999999999	-1.0
-0.396	-1.38	-1.0
-1.59	-0.7659999999999999	1.0
0.903	-1.17	1.0
1.57	-0.0908	-1.0
1.18	0.9129999999999999	-1.0
-0.32299999999999995	-0.264	1.0
-0.302	-1.22	-1.0
-1.26	-0.29600000000000004	1.0
0.8740000000000001	-1.41	1.0
-0.885	1.05	-1.0
-1.52	-0.74	1.0
-0.716	-0.19399999999999998	1.0
-0.579	-0.397	1.0
-1.52	0.38799999999999996	-1.0
1.57	-0.5660000000000001	-1.0
-0.7020000000000001	-1.2	-1.0
-0.366	-0.882	-1.0
1.45	-1.78	1.0
-1.22	0.831	-1.0
1.39	-1.11	1.0
0.9690000000000001	0.9209999999999999	-1.0
0.659	1.07	-1.0
-0.23800000000000002	0.126	1.0
-0.5760000000000001	-0.46299999999999997	1.0
0.171	-0.8859999999999999	-1.0
0.893	0.345	-1.0
-1.49	0.885	-1.0
0.258	0.309	1.0
-0.609	-0.917	-1.0
1.05	0.6509999999999999	-1.0
-0.8270000000000001	-0.506	1.0
0.374	-1.39	-1.0
-0.784	0.9690000000000001	-1.0
1.08	1.42	1.0
0.146	-0.151	1.0
-1.93	0.603	-1.0
-0.7340000000000001	-1.09	-1.0
-1.19	-0.529	1.0
0.0176	0.0932	1.0
1.72	-0.44799999999999995	-1.0
1.37	0.625	-1.0
1.3	0.18600000000000003	-1.0
